name,neh,neh_ls,multistart,iga
custom-001-20-chain7,1584,1584,1521,1521
custom-002-20-chain7,1478,1462,1411,1409
custom-003-20-chain7,1638,1638,1584,1579
custom-004-20-chain7,1571,1514,1499,1499
custom-005-20-chain7,1530,1486,1468,1468
custom-006-20-chain7,1525,1498,1498,1498
custom-007-20-chain7,1590,1562,1514,1511
custom-008-20-chain7,1495,1491,1484,1481
custom-009-20-chain7,1568,1541,1501,1495
custom-010-20-chain7,1552,1524,1495,1495
custom-011-20-chain10,1825,1800,1696,1692
custom-012-20-chain10,1719,1636,1611,1611
custom-013-20-chain10,1770,1757,1714,1712
custom-014-20-chain10,1859,1841,1768,1758
custom-015-20-chain10,1730,1694,1631,1630
custom-016-20-chain10,1833,1800,1742,1752
custom-017-20-chain10,1792,1737,1701,1690
custom-018-20-chain10,1790,1785,1727,1727
custom-019-20-chain10,1779,1722,1662,1649
custom-020-20-chain10,1717,1665,1644,1637
custom-021-50-chain7,3092,3049,3003,2980
custom-022-50-chain7,3192,3154,3051,3046
custom-023-50-chain7,3128,3049,3023,3023
custom-024-50-chain7,3331,3256,3175,3210
custom-025-50-chain7,3172,3152,3099,3082
custom-026-50-chain7,3075,3033,3008,3001
custom-027-50-chain7,3189,3099,3058,3056
custom-028-50-chain7,3163,3093,3061,3042
custom-029-50-chain7,3268,3199,3167,3167
custom-030-50-chain7,3175,3128,3120,3120
custom-031-50-chain10,3326,3244,3221,3177
custom-032-50-chain10,3466,3396,3369,3353
custom-033-50-chain10,3456,3417,3344,3301
custom-034-50-chain10,3347,3266,3207,3161
custom-035-50-chain10,3310,3245,3158,3114
custom-036-50-chain10,3407,3333,3281,3250
custom-037-50-chain10,3526,3361,3291,3258
custom-038-50-chain10,3407,3391,3330,3320
custom-039-50-chain10,3527,3484,3380,3358
custom-040-50-chain10,3322,3317,3218,3180
