name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
custom-001-20-chain7,1584,1399,1409,1517,1517,2.5567543506622314,0.0,143911,"[7, 2, 5, 19, 18, 15, 1, 4, 14, 8, 6, 12, 9, 16, 17, 3, 13, 0, 11, 10]"
custom-002-20-chain7,1478,1306,1312,1407,1407,0.17608857154846191,0.0,9269,"[3, 16, 17, 7, 8, 2, 1, 9, 15, 4, 10, 19, 13, 5, 12, 6, 11, 0, 14, 18]"
custom-003-20-chain7,1638,1538,1538,1578,1578,0.2289574146270752,0.0,12400,"[18, 14, 5, 9, 8, 17, 4, 3, 0, 16, 1, 12, 19, 7, 15, 13, 2, 6, 11, 10]"
custom-004-20-chain7,1571,1416,1416,1497,1497,0.2441694736480713,0.0,13226,"[9, 11, 14, 2, 4, 15, 0, 5, 16, 8, 6, 10, 7, 19, 17, 3, 1, 18, 13, 12]"
custom-005-20-chain7,1530,1363,1393,1451,1451,0.11193680763244629,0.0,5407,"[4, 14, 13, 17, 5, 6, 12, 7, 19, 11, 3, 0, 15, 16, 9, 10, 1, 8, 18, 2]"
custom-006-20-chain7,1525,1468,1495,1498,1498,0.0017642974853515625,0.0,20,"[2, 11, 7, 8, 10, 1, 13, 3, 17, 4, 19, 12, 0, 9, 15, 18, 5, 6, 16, 14]"
custom-007-20-chain7,1590,1404,1404,1503,1503,1.1946218013763428,0.0,63815,"[18, 0, 8, 12, 3, 1, 17, 9, 19, 5, 13, 4, 15, 10, 16, 6, 2, 11, 7, 14]"
custom-008-20-chain7,1495,1456,1456,1481,1481,0.03955864906311035,0.0,2079,"[7, 12, 9, 3, 19, 1, 18, 4, 11, 15, 5, 0, 6, 13, 2, 17, 16, 14, 8, 10]"
custom-009-20-chain7,1568,1436,1476,1493,1493,0.4251594543457031,0.0,24864,"[1, 3, 17, 18, 8, 6, 12, 14, 7, 15, 13, 16, 9, 5, 2, 4, 19, 10, 0, 11]"
custom-010-20-chain7,1552,1393,1393,1479,1479,0.18021941184997559,0.0,10020,"[2, 12, 17, 5, 7, 8, 18, 15, 10, 0, 9, 4, 19, 3, 13, 1, 6, 11, 14, 16]"
custom-011-20-chain10,1692,1501,1552,1688,1688,22.581061124801636,0.0,667415,"[8, 11, 0, 4, 9, 15, 13, 12, 10, 3, 18, 17, 16, 1, 5, 2, 19, 14, 6, 7]"
custom-012-20-chain10,1611,1493,1493,1606,1606,6.6048760414123535,0.0,196482,"[0, 19, 7, 16, 13, 17, 1, 11, 15, 18, 6, 10, 9, 4, 5, 14, 3, 2, 12, 8]"
custom-013-20-chain10,1712,1529,1529,1707,1707,21.366469621658325,0.0,586812,"[3, 15, 7, 4, 14, 0, 18, 16, 6, 12, 13, 19, 5, 8, 10, 11, 17, 9, 2, 1]"
custom-014-20-chain10,1758,1595,1595,1752,1752,256.0708177089691,0.0,6147209,"[3, 14, 18, 10, 19, 9, 16, 4, 12, 6, 1, 0, 13, 15, 11, 2, 5, 7, 8, 17]"
custom-015-20-chain10,1630,1442,1453,1628,1628,10.989046096801758,0.0,166062,"[16, 5, 7, 19, 14, 13, 15, 12, 3, 9, 8, 4, 10, 11, 18, 0, 6, 17, 2, 1]"
custom-016-20-chain10,1752,1579,1591,1742,1742,47.692448139190674,0.0,557897,"[16, 11, 10, 15, 6, 14, 4, 3, 19, 2, 5, 8, 0, 13, 1, 17, 9, 12, 18, 7]"
custom-017-20-chain10,1690,1575,1621,1690,1690,2.158672332763672,0.0,24714,"[5, 6, 0, 19, 9, 3, 11, 8, 18, 13, 17, 14, 1, 2, 10, 12, 7, 16, 15, 4]"
