name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
d2f-001-20-7x7,1521,1455,1455,1485,1485,1.9036719799041748,0.0,25045,"[15, 18, 11, 0, 10, 13, 7, 16, 9, 6, 4, 3, 5, 19, 17, 12, 8, 14, 2, 1]"
d2f-002-20-7x7,1412,1268,1287,1355,1355,0.0243527889251709,0.0,839,"[3, 8, 1, 6, 11, 13, 2, 17, 5, 15, 4, 18, 19, 16, 12, 14, 0, 9, 7, 10]"
d2f-003-20-7x7,1584,1466,1502,1512,1512,0.8179659843444824,0.0,3253,"[19, 11, 10, 15, 0, 4, 13, 8, 3, 17, 16, 12, 2, 1, 14, 6, 7, 5, 18, 9]"
d2f-004-20-7x7,1478,1330,1337,1410,1410,0.2910745143890381,0.0,15126,"[19, 13, 10, 15, 18, 6, 12, 4, 8, 5, 2, 3, 14, 7, 9, 1, 0, 17, 16, 11]"
d2f-005-20-7x7,1476,1288,1288,1359,1359,0.02047562599182129,0.0,681,"[8, 12, 6, 17, 18, 7, 1, 3, 11, 15, 0, 19, 10, 13, 9, 2, 4, 5, 16, 14]"
d2f-006-20-7x7,1460,1409,1409,1409,1409,0.004218339920043945,0.0,6,"[8, 7, 6, 5, 16, 9, 11, 15, 3, 18, 17, 13, 4, 12, 19, 2, 1, 14, 0, 10]"
d2f-007-20-7x7,1582,1373,1374,1448,1448,0.7136995792388916,0.0,38143,"[7, 3, 18, 0, 15, 13, 17, 9, 19, 5, 1, 14, 12, 8, 4, 6, 2, 10, 11, 16]"
d2f-008-20-7x7,1350,1276,1276,1310,1310,0.3070640563964844,0.0,1592,"[2, 4, 9, 10, 6, 14, 0, 11, 15, 17, 13, 8, 1, 19, 5, 3, 7, 18, 16, 12]"
d2f-009-20-7x7,1502,1424,1428,1458,1458,0.041262149810791016,0.0,1594,"[3, 10, 1, 8, 2, 4, 16, 12, 7, 6, 9, 15, 13, 14, 11, 18, 5, 19, 0, 17]"
d2f-010-20-7x7,1461,1346,1362,1394,1394,0.2014932632446289,0.0,13573,"[1, 11, 8, 12, 3, 19, 6, 18, 4, 13, 7, 0, 9, 5, 10, 14, 15, 2, 17, 16]"
d2f-031-50-7x7,3136,2968,2968,3019,3019,1.1455247402191162,0.0,29186,"[47, 13, 42, 46, 44, 9, 8, 20, 21, 14, 45, 38, 11, 19, 49, 48, 15, 23, 22, 12, 26, 17, 31, 41, 10, 29, 1, 0, 6, 32, 34, 4, 40, 39, 16, 24, 43, 27, 30, 36, 7, 28, 33, 18, 3, 5, 2, 37, 25, 35]"
d2f-032-50-7x7,3055,2958,2958,2970,2970,0.3565027713775635,0.0,447,"[44, 9, 12, 30, 39, 4, 15, 5, 13, 16, 22, 6, 10, 1, 7, 46, 38, 29, 3, 23, 17, 42, 2, 24, 40, 34, 14, 32, 27, 19, 8, 37, 21, 31, 28, 0, 20, 45, 35, 43, 25, 33, 36, 47, 49, 48, 11, 18, 26, 41]"
d2f-033-50-7x7,3142,3059,3068,3090,3090,8.054894208908081,0.0,176585,"[49, 10, 42, 48, 24, 19, 20, 43, 39, 47, 35, 28, 17, 34, 13, 12, 31, 1, 8, 29, 41, 3, 23, 11, 30, 4, 45, 6, 40, 21, 33, 38, 22, 9, 36, 37, 26, 25, 0, 46, 7, 32, 27, 5, 14, 2, 16, 18, 15, 44]"
d2f-034-50-7x7,3023,2866,2869,2947,2947,0.29959821701049805,0.0,3476,"[18, 3, 24, 14, 32, 13, 20, 35, 6, 21, 25, 16, 30, 47, 45, 43, 11, 0, 4, 31, 12, 26, 36, 38, 34, 49, 15, 46, 2, 42, 44, 48, 5, 37, 39, 27, 9, 28, 23, 41, 10, 17, 40, 1, 7, 33, 19, 29, 8, 22]"
d2f-035-50-7x7,2868,2672,2672,2747,2747,2.6181163787841797,0.0,74439,"[28, 9, 12, 7, 34, 3, 5, 13, 46, 48, 35, 23, 2, 38, 8, 18, 36, 15, 37, 32, 44, 39, 30, 4, 19, 21, 16, 40, 33, 31, 14, 41, 11, 43, 25, 29, 20, 6, 22, 1, 49, 0, 17, 47, 24, 27, 45, 10, 42, 26]"
d2f-036-50-7x7,3176,3053,3053,3098,3071,3600.1286623477936,0.008715300193673338,102233283,"[20, 34, 44, 1, 14, 3, 22, 27, 5, 17, 48, 41, 38, 37, 31, 30, 13, 40, 4, 16, 0, 21, 49, 36, 46, 18, 9, 11, 29, 39, 32, 7, 15, 2, 35, 25, 23, 24, 19, 10, 12, 45, 6, 28, 8, 47, 33, 43, 26, 42]"
d2f-037-50-7x7,3163,3094,3099,3107,3107,0.08738565444946289,0.0,920,"[36, 41, 16, 32, 6, 2, 23, 43, 22, 40, 49, 39, 17, 46, 45, 47, 24, 20, 26, 28, 3, 13, 15, 27, 44, 48, 38, 8, 5, 10, 35, 21, 9, 25, 0, 31, 7, 37, 11, 30, 33, 42, 4, 14, 1, 19, 18, 12, 34, 29]"
d2f-038-50-7x7,3226,3073,3073,3110,3110,0.17131996154785156,0.0,3481,"[30, 5, 13, 32, 9, 43, 20, 10, 35, 49, 11, 34, 12, 26, 47, 24, 44, 15, 46, 36, 1, 7, 27, 16, 28, 37, 22, 33, 48, 14, 4, 3, 25, 38, 2, 8, 19, 41, 39, 42, 31, 29, 40, 21, 17, 45, 6, 18, 23, 0]"
d2f-039-50-7x7,3169,2956,2958,3045,3045,1.1940982341766357,0.0,35489,"[49, 34, 31, 11, 2, 5, 48, 42, 46, 24, 41, 43, 32, 19, 39, 23, 33, 25, 15, 6, 16, 22, 37, 40, 17, 29, 0, 35, 14, 1, 38, 8, 10, 27, 3, 18, 12, 26, 4, 36, 44, 45, 13, 20, 7, 47, 21, 30, 28, 9]"
d2f-040-50-7x7,3120,3023,3023,3023,3023,0.01589179039001465,0.0,3,"[18, 39, 9, 24, 16, 5, 45, 42, 10, 11, 37, 3, 34, 19, 41, 13, 1, 49, 26, 22, 2, 17, 30, 6, 20, 7, 44, 31, 14, 38, 21, 47, 35, 12, 27, 32, 4, 8, 36, 29, 28, 43, 15, 23, 0, 46, 25, 33, 48, 40]"
