name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
d2f-001-20-7x7,1521,1392,1419,1462,1462,0.3422410488128662,0.0,18436,"[11, 0, 7, 12, 16, 18, 3, 9, 13, 6, 19, 10, 8, 14, 5, 15, 1, 4, 17, 2]"
d2f-002-20-7x7,1283,1188,1188,1238,1238,0.007053375244140625,0.0,291,"[2, 6, 11, 18, 13, 17, 19, 12, 4, 1, 8, 5, 0, 15, 9, 14, 10, 7, 3, 16]"
d2f-003-20-7x7,1528,1466,1502,1502,1502,1.3854403495788574,0.0,124080,"[11, 10, 0, 13, 4, 19, 12, 3, 15, 2, 1, 14, 6, 17, 16, 8, 5, 18, 9, 7]"
d2f-004-20-7x7,1420,1330,1337,1378,1378,0.10933876037597656,0.0,5933,"[3, 5, 7, 19, 8, 12, 9, 15, 10, 6, 14, 2, 4, 18, 1, 13, 0, 17, 16, 11]"
d2f-005-20-7x7,1323,1288,1288,1288,1288,0.003108978271484375,0.0,5,"[9, 8, 6, 17, 1, 15, 3, 18, 7, 2, 10, 16, 0, 5, 19, 12, 4, 13, 14, 11]"
d2f-006-20-7x7,1439,1409,1409,1409,1409,0.0015642642974853516,0.0,2,"[8, 5, 14, 7, 12, 16, 9, 17, 6, 11, 13, 4, 19, 3, 18, 2, 1, 15, 0, 10]"
d2f-007-20-7x7,1414,1358,1359,1379,1379,0.06575918197631836,0.0,5957,"[7, 4, 9, 13, 6, 15, 0, 3, 1, 14, 10, 11, 12, 19, 5, 8, 2, 17, 16, 18]"
d2f-008-20-7x7,1328,1192,1215,1268,1268,1.9514403343200684,0.0,134003,"[4, 2, 0, 9, 14, 13, 10, 3, 8, 1, 19, 5, 15, 11, 17, 18, 12, 16, 6, 7]"
d2f-009-20-7x7,1327,1277,1277,1277,1277,0.11010193824768066,0.0,576,"[2, 19, 7, 14, 12, 4, 16, 1, 10, 0, 13, 15, 8, 5, 11, 18, 9, 6, 17, 3]"
d2f-010-20-7x7,1383,1346,1362,1382,1382,0.011113166809082031,0.0,237,"[11, 14, 18, 9, 1, 8, 3, 4, 13, 6, 7, 15, 2, 5, 0, 10, 12, 19, 17, 16]"
d2f-011-20-10x10,1593,1424,1443,1589,1589,22.105203866958618,0.0,1256306,"[5, 9, 7, 2, 10, 19, 12, 1, 13, 15, 4, 3, 18, 6, 14, 8, 16, 11, 0, 17]"
d2f-012-20-10x10,1542,1446,1453,1539,1539,0.22013401985168457,0.0,5652,"[1, 6, 3, 11, 7, 8, 4, 10, 14, 12, 19, 5, 0, 18, 13, 17, 2, 9, 16, 15]"
d2f-013-20-10x10,1474,1416,1416,1462,1462,5.364161968231201,0.0,296878,"[1, 3, 18, 2, 7, 11, 9, 0, 16, 6, 17, 14, 8, 10, 13, 12, 15, 4, 19, 5]"
d2f-014-20-10x10,1490,1457,1457,1487,1487,0.2884852886199951,0.0,11502,"[17, 0, 2, 12, 19, 10, 14, 7, 1, 11, 9, 16, 6, 15, 8, 13, 18, 4, 5, 3]"
d2f-015-20-10x10,1500,1376,1376,1494,1494,4.715641975402832,0.0,289726,"[9, 17, 4, 2, 19, 18, 15, 6, 8, 5, 1, 10, 11, 3, 13, 0, 16, 12, 7, 14]"
d2f-016-20-10x10,1576,1511,1516,1570,1570,30.73913288116455,0.0,1757764,"[9, 13, 0, 15, 5, 12, 18, 8, 3, 2, 6, 1, 4, 10, 19, 11, 16, 17, 7, 14]"
d2f-017-20-10x10,1498,1420,1436,1498,1498,0.11024093627929688,0.0,20,"[1, 17, 14, 10, 9, 19, 15, 11, 16, 12, 8, 4, 13, 7, 18, 0, 5, 6, 2, 3]"
d2f-018-20-10x10,1493,1383,1388,1484,1484,0.21737265586853027,0.0,6983,"[12, 15, 9, 11, 1, 10, 16, 14, 18, 7, 13, 8, 4, 17, 6, 19, 2, 0, 3, 5]"
d2f-019-20-10x10,1557,1365,1414,1551,1551,10.848914384841919,0.0,633952,"[8, 13, 11, 18, 3, 0, 10, 5, 4, 12, 7, 17, 1, 2, 19, 9, 6, 15, 16, 14]"
