name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
d2f-001-20-7x7,1521,1455,1455,1485,1485,1.833017110824585,0.0,25045,"[15, 18, 11, 0, 10, 13, 7, 16, 9, 6, 4, 3, 5, 19, 17, 12, 8, 14, 2, 1]"
d2f-002-20-7x7,1412,1268,1287,1355,1355,0.0158689022064209,0.0,425,"[3, 8, 1, 6, 11, 13, 2, 17, 5, 15, 4, 18, 19, 16, 12, 14, 0, 9, 7, 10]"
d2f-003-20-7x7,1584,1466,1502,1512,1512,0.06241488456726074,0.0,2771,"[11, 6, 19, 15, 13, 0, 16, 3, 10, 4, 17, 12, 2, 1, 14, 8, 7, 5, 18, 9]"
d2f-004-20-7x7,1478,1330,1337,1410,1410,0.212388277053833,0.0,13741,"[19, 13, 10, 15, 18, 6, 12, 4, 8, 5, 2, 3, 14, 7, 9, 1, 0, 17, 16, 11]"
d2f-005-20-7x7,1476,1288,1288,1359,1359,0.01710653305053711,0.0,681,"[8, 12, 6, 17, 18, 7, 1, 3, 11, 15, 0, 19, 10, 13, 9, 2, 4, 5, 16, 14]"
d2f-006-20-7x7,1460,1409,1409,1409,1409,0.003329753875732422,0.0,6,"[8, 7, 6, 5, 16, 9, 11, 15, 3, 18, 17, 13, 4, 12, 19, 2, 1, 14, 0, 10]"
d2f-007-20-7x7,1582,1373,1374,1448,1448,0.6295533180236816,0.0,38307,"[7, 3, 18, 0, 15, 13, 17, 9, 19, 5, 1, 14, 12, 8, 4, 6, 2, 10, 11, 16]"
d2f-008-20-7x7,1350,1276,1276,1310,1310,0.26203489303588867,0.0,1592,"[2, 4, 9, 10, 6, 14, 0, 11, 15, 17, 13, 8, 1, 19, 5, 3, 7, 18, 16, 12]"
d2f-009-20-7x7,1502,1424,1428,1458,1458,0.04765152931213379,0.0,2187,"[3, 10, 1, 8, 2, 4, 16, 12, 7, 6, 9, 15, 13, 14, 11, 18, 5, 19, 0, 17]"
d2f-010-20-7x7,1461,1346,1362,1394,1394,0.23995089530944824,0.0,15444,"[1, 11, 8, 12, 3, 19, 6, 18, 4, 13, 7, 0, 9, 5, 10, 14, 15, 2, 17, 16]"
d2f-011-20-10x10,1653,1424,1443,1648,1648,89.54109263420105,0.0,2932032,"[5, 0, 17, 9, 15, 12, 1, 3, 19, 2, 10, 18, 4, 14, 16, 6, 13, 7, 8, 11]"
d2f-012-20-10x10,1606,1446,1456,1604,1604,0.9115986824035645,0.0,20633,"[12, 0, 1, 5, 7, 19, 3, 6, 11, 8, 4, 18, 16, 10, 9, 13, 17, 2, 14, 15]"
d2f-013-20-10x10,1657,1444,1516,1644,1644,51.46632719039917,0.0,1727451,"[7, 3, 14, 6, 1, 16, 4, 12, 9, 10, 18, 11, 2, 0, 8, 13, 5, 17, 15, 19]"
d2f-014-20-10x10,1558,1498,1498,1545,1545,1.3586432933807373,0.0,39426,"[10, 1, 19, 16, 13, 12, 11, 15, 17, 0, 9, 2, 14, 6, 3, 4, 8, 5, 18, 7]"
d2f-015-20-10x10,1612,1411,1422,1602,1602,12.175442695617676,0.0,452722,"[9, 8, 10, 2, 3, 19, 17, 13, 6, 11, 4, 18, 0, 15, 12, 7, 1, 5, 16, 14]"
d2f-016-20-10x10,1608,1511,1516,1608,1608,2.379290819168091,0.0,66250,"[5, 18, 8, 0, 11, 6, 10, 12, 17, 15, 9, 19, 4, 13, 3, 1, 2, 14, 16, 7]"
d2f-017-20-10x10,1641,1567,1574,1641,1641,0.22274160385131836,0.0,1069,"[14, 1, 12, 8, 18, 19, 5, 10, 17, 13, 2, 9, 0, 7, 15, 3, 11, 16, 6, 4]"
d2f-018-20-10x10,1603,1454,1454,1588,1588,2.106717348098755,0.0,66991,"[11, 15, 16, 14, 18, 7, 13, 10, 4, 6, 2, 0, 17, 12, 1, 19, 8, 3, 9, 5]"
d2f-019-20-10x10,1692,1578,1584,1678,1678,3.9694530963897705,0.0,134444,"[6, 18, 3, 11, 1, 0, 12, 10, 7, 17, 19, 9, 5, 4, 8, 15, 16, 2, 13, 14]"
d2f-020-20-10x10,1597,1449,1449,1597,1597,0.9033372402191162,0.0,20384,"[13, 1, 17, 0, 6, 9, 5, 8, 4, 14, 15, 3, 10, 12, 7, 19, 2, 16, 18, 11]"
d2f-021-20-15x15,2053,1810,1888,2043,1894,3600.0004115104675,0.07293196279980421,52505714,"[0, 13, 9, 16, 15, 11, 19, 2, 17, 6, 3, 10, 5, 7, 18, 14, 4, 1, 12, 8]"
d2f-022-20-15x15,2029,1786,1866,2022,2022,128.69194555282593,0.0,2362301,"[11, 12, 15, 5, 4, 0, 16, 10, 14, 1, 13, 6, 2, 17, 8, 19, 9, 7, 3, 18]"
d2f-023-20-15x15,2045,1711,1786,2032,2032,473.5746691226959,0.0,8884974,"[10, 8, 13, 7, 6, 16, 14, 0, 12, 11, 4, 5, 9, 19, 2, 18, 15, 17, 1, 3]"
d2f-024-20-15x15,2038,1751,1844,2038,2038,5.197335243225098,0.0,77568,"[16, 13, 4, 1, 8, 14, 2, 19, 5, 6, 9, 0, 15, 11, 17, 10, 18, 3, 7, 12]"
d2f-025-20-15x15,1973,1657,1710,1970,1970,80.39406108856201,0.0,1553111,"[17, 4, 18, 13, 8, 1, 9, 12, 0, 14, 7, 2, 16, 11, 10, 15, 5, 3, 19, 6]"
d2f-026-20-15x15,1951,1811,1817,1942,1942,41.08435082435608,0.0,709804,"[19, 4, 14, 1, 18, 17, 12, 7, 2, 16, 0, 15, 10, 3, 11, 9, 13, 6, 5, 8]"
d2f-027-20-15x15,2009,1688,1706,2001,2001,486.6487832069397,0.0,9448654,"[18, 8, 16, 6, 4, 7, 10, 12, 3, 17, 5, 2, 14, 9, 15, 0, 19, 1, 11, 13]"
d2f-028-20-15x15,2072,1829,1829,2058,2058,1968.4565069675446,0.0,28120328,"[18, 15, 10, 6, 13, 12, 11, 14, 5, 0, 3, 4, 19, 16, 8, 1, 17, 7, 9, 2]"
d2f-029-20-15x15,2029,1796,1854,2028,2028,172.70047283172607,0.0,3117077,"[8, 11, 14, 3, 5, 2, 1, 9, 4, 12, 0, 19, 13, 7, 16, 18, 15, 6, 17, 10]"
d2f-030-20-15x15,2093,1840,1898,2080,2080,2947.4833920001984,0.0,54374139,"[11, 7, 14, 5, 0, 12, 17, 13, 1, 9, 2, 6, 8, 10, 16, 19, 15, 3, 18, 4]"
d2f-031-50-7x7,3136,2968,2968,3019,3019,1.2988080978393555,0.0,29186,"[47, 13, 42, 46, 44, 9, 8, 20, 21, 14, 45, 38, 11, 19, 49, 48, 15, 23, 22, 12, 26, 17, 31, 41, 10, 29, 1, 0, 6, 32, 34, 4, 40, 39, 16, 24, 43, 27, 30, 36, 7, 28, 33, 18, 3, 5, 2, 37, 25, 35]"
d2f-032-50-7x7,3055,2958,2958,2970,2970,0.3950767517089844,0.0,447,"[44, 9, 12, 30, 39, 4, 15, 5, 13, 16, 22, 6, 10, 1, 7, 46, 38, 29, 3, 23, 17, 42, 2, 24, 40, 34, 14, 32, 27, 19, 8, 37, 21, 31, 28, 0, 20, 45, 35, 43, 25, 33, 36, 47, 49, 48, 11, 18, 26, 41]"
d2f-033-50-7x7,3142,3059,3068,3090,3090,7.290606737136841,0.0,159369,"[48, 10, 49, 39, 19, 24, 37, 38, 17, 34, 23, 5, 7, 26, 40, 22, 33, 1, 35, 28, 45, 9, 3, 30, 6, 11, 42, 8, 4, 12, 31, 29, 21, 46, 2, 47, 25, 36, 20, 13, 43, 32, 27, 0, 14, 41, 16, 18, 15, 44]"
d2f-034-50-7x7,3023,2866,2869,2947,2947,2.1954097747802734,0.0,47164,"[18, 3, 24, 28, 11, 21, 5, 47, 2, 41, 34, 6, 14, 38, 17, 30, 4, 23, 43, 39, 20, 0, 32, 7, 31, 9, 44, 48, 46, 36, 27, 12, 49, 26, 37, 45, 35, 40, 42, 13, 16, 15, 25, 10, 29, 33, 1, 19, 8, 22]"
d2f-035-50-7x7,2868,2672,2672,2747,2747,2.9374964237213135,0.0,74439,"[28, 9, 12, 7, 34, 3, 5, 13, 46, 48, 35, 23, 2, 38, 8, 18, 36, 15, 37, 32, 44, 39, 30, 4, 19, 21, 16, 40, 33, 31, 14, 41, 11, 43, 25, 29, 20, 6, 22, 1, 49, 0, 17, 47, 24, 27, 45, 10, 42, 26]"
d2f-036-50-7x7,3176,3053,3053,3098,3071,3513.4914038181305,0.008715300193673338,100000000,"[20, 34, 44, 1, 14, 3, 22, 27, 5, 17, 48, 41, 38, 37, 31, 30, 13, 40, 4, 16, 0, 21, 49, 36, 46, 18, 9, 11, 29, 39, 32, 7, 15, 2, 35, 25, 23, 24, 19, 10, 12, 45, 6, 28, 8, 47, 33, 43, 26, 42]"
d2f-037-50-7x7,3163,3094,3099,3107,3107,0.06816458702087402,0.0,419,"[36, 41, 16, 32, 6, 22, 40, 43, 21, 46, 2, 39, 19, 10, 23, 47, 7, 17, 28, 35, 44, 48, 25, 27, 5, 33, 13, 37, 15, 38, 0, 31, 42, 49, 30, 20, 45, 26, 8, 3, 11, 24, 1, 14, 9, 12, 4, 18, 34, 29]"
d2f-038-50-7x7,3226,3073,3073,3110,3110,0.17728471755981445,0.0,3481,"[30, 5, 13, 32, 9, 43, 20, 10, 35, 49, 11, 34, 12, 26, 47, 24, 44, 15, 46, 36, 1, 7, 27, 16, 28, 37, 22, 33, 48, 14, 4, 3, 25, 38, 2, 8, 19, 41, 39, 42, 31, 29, 40, 21, 17, 45, 6, 18, 23, 0]"
d2f-039-50-7x7,3169,2956,2958,3045,3045,0.3896141052246094,0.0,8266,"[31, 41, 34, 21, 33, 43, 7, 42, 49, 45, 48, 17, 24, 19, 16, 32, 15, 0, 46, 38, 10, 6, 37, 8, 29, 23, 27, 39, 25, 12, 3, 22, 18, 2, 36, 14, 1, 47, 35, 11, 44, 26, 5, 4, 40, 13, 20, 30, 28, 9]"
d2f-040-50-7x7,3120,3023,3023,3023,3023,0.01880645751953125,0.0,3,"[18, 39, 9, 24, 16, 5, 45, 42, 10, 11, 37, 3, 34, 19, 41, 13, 1, 49, 26, 22, 2, 17, 30, 6, 20, 7, 44, 31, 14, 38, 21, 47, 35, 12, 27, 32, 4, 8, 36, 29, 28, 43, 15, 23, 0, 46, 25, 33, 48, 40]"
d2f-041-50-10x10,3385,3316,3338,3385,3385,6.416926860809326,0.0,2447,"[18, 22, 46, 41, 32, 12, 7, 2, 0, 10, 8, 21, 15, 49, 27, 36, 25, 42, 38, 5, 30, 34, 23, 14, 45, 1, 19, 39, 40, 48, 20, 33, 9, 17, 3, 4, 24, 6, 35, 13, 11, 31, 37, 26, 28, 43, 16, 44, 47, 29]"
d2f-042-50-10x10,3155,3040,3040,3128,3128,2215.8375251293182,0.0,46259515,"[18, 34, 33, 36, 16, 11, 49, 48, 28, 5, 10, 27, 2, 15, 35, 0, 6, 26, 30, 42, 22, 12, 40, 44, 32, 8, 1, 45, 31, 29, 25, 47, 23, 14, 43, 19, 9, 7, 3, 13, 41, 37, 39, 24, 20, 21, 4, 38, 46, 17]"
d2f-043-50-10x10,3132,2976,2976,3086,3086,28.679609775543213,0.0,461046,"[26, 39, 35, 3, 49, 25, 10, 27, 12, 19, 8, 0, 11, 6, 18, 36, 31, 20, 46, 45, 17, 24, 13, 5, 33, 28, 15, 47, 44, 2, 14, 9, 48, 21, 32, 41, 38, 29, 43, 4, 16, 37, 1, 30, 34, 23, 7, 22, 40, 42]"
d2f-044-50-10x10,3274,3128,3147,3232,3153,3600.0003781318665,0.024443069306930694,74627585,"[30, 4, 7, 20, 15, 11, 39, 32, 31, 46, 49, 3, 5, 10, 43, 41, 40, 44, 14, 8, 0, 42, 12, 34, 36, 13, 2, 18, 6, 45, 47, 9, 1, 22, 16, 29, 17, 33, 27, 19, 23, 37, 26, 25, 35, 21, 48, 38, 28, 24]"
d2f-045-50-10x10,3237,3157,3184,3192,3192,342.1866099834442,0.0,6228517,"[27, 48, 30, 18, 15, 4, 2, 37, 35, 14, 28, 12, 44, 16, 25, 42, 38, 8, 47, 19, 1, 33, 41, 46, 13, 36, 5, 43, 32, 34, 39, 24, 23, 49, 11, 7, 3, 22, 45, 26, 6, 17, 20, 9, 29, 31, 40, 10, 0, 21]"
d2f-046-50-10x10,3188,2988,2995,3121,3121,2526.332230091095,0.0,53056407,"[49, 34, 5, 1, 9, 10, 42, 11, 37, 17, 20, 33, 47, 28, 44, 36, 32, 48, 40, 25, 12, 6, 7, 39, 19, 14, 22, 43, 3, 45, 23, 16, 24, 31, 38, 18, 27, 21, 0, 41, 29, 13, 15, 35, 2, 4, 8, 26, 30, 46]"
d2f-047-50-10x10,3266,3153,3153,3236,3235,3600.0028262138367,0.00030902348578491963,19215956,"[18, 2, 26, 28, 19, 36, 47, 23, 37, 49, 34, 31, 0, 29, 24, 38, 40, 7, 45, 46, 17, 9, 11, 42, 48, 44, 15, 27, 25, 20, 35, 22, 39, 33, 3, 5, 10, 41, 12, 4, 8, 43, 13, 30, 16, 1, 6, 32, 14, 21]"
d2f-048-50-10x10,3078,2899,2899,3043,2905,3600.000377893448,0.045349983568846536,74930426,"[13, 24, 18, 39, 28, 25, 7, 15, 43, 3, 11, 41, 6, 12, 49, 10, 37, 23, 4, 33, 19, 14, 8, 38, 48, 42, 20, 1, 16, 46, 5, 22, 35, 30, 9, 29, 32, 44, 45, 17, 36, 2, 34, 40, 21, 47, 31, 0, 26, 27]"
d2f-049-50-10x10,3275,3237,3237,3275,3275,9.768280267715454,0.0,3,"[16, 40, 32, 24, 6, 19, 46, 49, 17, 3, 27, 35, 37, 4, 45, 20, 31, 0, 12, 42, 14, 28, 2, 15, 23, 11, 43, 22, 38, 44, 25, 8, 13, 26, 29, 9, 30, 41, 10, 18, 1, 39, 5, 48, 34, 7, 33, 21, 47, 36]"
d2f-050-50-10x10,3223,3128,3160,3199,3166,3600.0005683898926,0.01031572366364489,86220816,"[26, 22, 12, 29, 23, 0, 35, 3, 30, 5, 1, 34, 40, 36, 48, 49, 20, 46, 8, 31, 25, 14, 21, 18, 15, 45, 9, 32, 13, 33, 6, 38, 7, 41, 39, 28, 42, 27, 10, 44, 43, 11, 2, 47, 17, 16, 19, 37, 4, 24]"
d2f-051-50-15x15,3657,3214,3214,3629,3335,3600.000806093216,0.08101405345825297,31800333,"[49, 41, 48, 20, 16, 17, 38, 11, 33, 9, 12, 24, 46, 1, 10, 30, 5, 19, 23, 29, 25, 4, 2, 31, 42, 13, 26, 7, 0, 8, 35, 32, 34, 27, 36, 39, 21, 15, 22, 3, 47, 45, 14, 6, 18, 28, 37, 44, 43, 40]"
d2f-052-50-15x15,3668,3308,3308,3633,3384,3600.001086950302,0.0685383980181668,32733250,"[38, 1, 25, 44, 41, 43, 10, 19, 22, 12, 13, 31, 6, 21, 47, 15, 48, 24, 30, 9, 42, 32, 18, 27, 28, 23, 37, 8, 36, 3, 46, 5, 45, 29, 7, 35, 34, 49, 40, 26, 11, 16, 39, 2, 14, 17, 4, 0, 33, 20]"
d2f-053-50-15x15,3642,3323,3323,3609,3376,3600.001413822174,0.06456082017179274,38825330,"[24, 30, 13, 10, 34, 6, 33, 35, 8, 17, 40, 12, 27, 5, 0, 4, 9, 18, 39, 1, 16, 46, 20, 42, 22, 2, 14, 32, 41, 45, 21, 37, 11, 28, 15, 48, 25, 36, 47, 38, 31, 49, 43, 23, 44, 26, 7, 19, 29, 3]"
d2f-054-50-15x15,3512,3134,3143,3512,3263,3600.001198530197,0.0708997722095672,29094172,"[45, 42, 32, 6, 49, 30, 29, 2, 28, 3, 43, 1, 25, 46, 14, 13, 17, 37, 33, 20, 8, 9, 11, 35, 26, 4, 7, 44, 34, 19, 48, 5, 31, 21, 12, 36, 22, 0, 39, 27, 15, 47, 10, 24, 16, 41, 23, 38, 40, 18]"
d2f-055-50-15x15,3630,3421,3445,3630,3466,3600.0009548664093,0.045179063360881545,29470011,"[7, 43, 11, 26, 45, 39, 9, 29, 42, 25, 46, 13, 18, 33, 31, 40, 0, 23, 48, 27, 22, 32, 24, 30, 35, 5, 34, 8, 17, 15, 10, 12, 6, 19, 2, 20, 14, 47, 1, 28, 36, 37, 49, 3, 4, 41, 44, 16, 38, 21]"
d2f-056-50-15x15,3657,3539,3539,3642,3552,3600.002085208893,0.02471169686985173,32827856,"[6, 29, 49, 27, 35, 17, 31, 1, 7, 15, 20, 22, 16, 9, 3, 21, 23, 37, 19, 13, 12, 33, 25, 32, 40, 14, 48, 36, 47, 43, 2, 4, 34, 46, 18, 42, 38, 11, 0, 39, 45, 10, 44, 24, 26, 5, 41, 8, 30, 28]"
d2f-057-50-15x15,3688,3349,3349,3686,3353,3600.0009486675262,0.0903418339663592,30859476,"[0, 45, 19, 48, 7, 49, 30, 37, 38, 8, 33, 23, 47, 39, 26, 17, 20, 1, 32, 44, 25, 34, 27, 3, 5, 13, 14, 12, 18, 11, 28, 46, 40, 35, 42, 6, 16, 43, 21, 24, 2, 15, 41, 22, 29, 4, 9, 36, 31, 10]"
d2f-058-50-15x15,3724,3462,3462,3723,3487,3600.000586748123,0.0633897394574268,31786775,"[15, 47, 39, 6, 45, 11, 17, 49, 40, 3, 19, 2, 36, 46, 23, 29, 1, 4, 30, 14, 37, 34, 41, 44, 8, 7, 42, 33, 24, 35, 26, 48, 28, 0, 12, 18, 27, 43, 9, 13, 21, 10, 38, 25, 31, 5, 22, 20, 16, 32]"
d2f-059-50-15x15,3610,3252,3270,3601,3360,3600.002918958664,0.06692585392946404,30501068,"[29, 11, 21, 16, 26, 28, 32, 22, 15, 37, 27, 43, 35, 36, 14, 40, 48, 13, 4, 8, 44, 12, 5, 47, 3, 19, 0, 45, 49, 25, 10, 6, 46, 34, 24, 42, 33, 18, 7, 1, 23, 2, 17, 41, 39, 38, 9, 20, 30, 31]"
d2f-060-50-15x15,3639,3326,3344,3639,3405,3600.0067415237427,0.06430338004946413,27699348,"[28, 43, 20, 25, 23, 7, 14, 39, 47, 27, 2, 15, 35, 45, 26, 5, 11, 19, 48, 37, 46, 18, 8, 29, 0, 17, 40, 1, 12, 13, 16, 44, 22, 41, 4, 3, 33, 34, 36, 31, 21, 42, 10, 9, 49, 30, 38, 6, 32, 24]"
