name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
dfm-001-20-7x7,1521,1455,1455,1485,1485,0.34033894538879395,0.0,24887,"[15, 18, 11, 0, 10, 13, 7, 16, 9, 6, 4, 3, 5, 19, 17, 12, 8, 14, 2, 1]"
dfm-002-20-7x7,1412,1268,1287,1355,1355,0.025614023208618164,0.0,837,"[3, 8, 1, 6, 11, 13, 2, 17, 5, 15, 4, 18, 19, 16, 12, 14, 0, 9, 7, 10]"
dfm-003-20-7x7,1584,1466,1502,1512,1512,0.06714177131652832,0.0,3253,"[19, 11, 10, 15, 0, 4, 13, 8, 3, 17, 16, 12, 2, 1, 14, 6, 7, 5, 18, 9]"
dfm-004-20-7x7,1478,1330,1337,1410,1410,0.23479175567626953,0.0,14189,"[19, 13, 10, 15, 18, 6, 12, 4, 8, 5, 2, 3, 14, 7, 9, 1, 0, 17, 16, 11]"
dfm-005-20-7x7,1476,1288,1288,1359,1359,0.027289628982543945,0.0,1024,"[8, 12, 6, 17, 18, 7, 1, 3, 11, 15, 0, 19, 10, 13, 9, 2, 4, 5, 16, 14]"
dfm-006-20-7x7,1460,1409,1409,1409,1409,0.004094362258911133,0.0,21,"[8, 7, 5, 16, 11, 3, 15, 17, 4, 6, 19, 9, 12, 2, 13, 18, 1, 14, 0, 10]"
dfm-007-20-7x7,1582,1373,1374,1448,1448,0.6528315544128418,0.0,38318,"[7, 3, 18, 0, 15, 13, 17, 9, 19, 5, 1, 14, 12, 8, 4, 6, 2, 10, 11, 16]"
dfm-008-20-7x7,1350,1276,1276,1310,1310,0.027636289596557617,0.0,1610,"[2, 4, 9, 10, 6, 14, 13, 0, 11, 15, 17, 8, 5, 3, 19, 1, 7, 18, 16, 12]"
dfm-009-20-7x7,1502,1424,1428,1458,1458,0.04212594032287598,0.0,2634,"[3, 10, 1, 8, 2, 4, 16, 12, 7, 6, 9, 15, 13, 14, 11, 18, 5, 19, 0, 17]"
dfm-010-20-7x7,1461,1346,1362,1394,1394,0.2460784912109375,0.0,15168,"[1, 11, 8, 12, 3, 19, 6, 18, 4, 13, 7, 0, 9, 5, 10, 14, 15, 2, 17, 16]"
dfm-011-20-10x10,1651,1424,1443,1648,1648,79.6352596282959,0.0,2864187,"[5, 0, 17, 9, 15, 12, 1, 3, 19, 2, 10, 18, 4, 14, 16, 6, 13, 7, 8, 11]"
dfm-012-20-10x10,1607,1446,1456,1604,1604,0.8133907318115234,0.0,22001,"[12, 0, 1, 5, 7, 19, 3, 6, 11, 8, 4, 18, 16, 10, 9, 13, 17, 2, 14, 15]"
dfm-013-20-10x10,1646,1444,1516,1644,1644,37.45555329322815,0.0,1317901,"[7, 3, 14, 6, 1, 16, 4, 12, 9, 10, 18, 11, 2, 0, 8, 13, 5, 17, 15, 19]"
dfm-014-20-10x10,1545,1498,1498,1545,1545,0.758836030960083,0.0,22214,"[10, 1, 19, 16, 13, 12, 11, 15, 0, 9, 2, 17, 14, 6, 18, 3, 8, 4, 5, 7]"
dfm-015-20-10x10,1610,1411,1422,1602,1602,9.251984357833862,0.0,364601,"[9, 8, 10, 2, 3, 19, 17, 13, 6, 11, 4, 18, 0, 15, 12, 7, 1, 5, 16, 14]"
dfm-016-20-10x10,1608,1511,1516,1608,1608,2.095428943634033,0.0,66380,"[5, 0, 8, 18, 11, 6, 10, 12, 17, 15, 9, 19, 4, 13, 3, 1, 2, 14, 16, 7]"
dfm-017-20-10x10,1641,1567,1574,1641,1641,0.18320322036743164,0.0,1187,"[14, 17, 1, 19, 5, 18, 12, 8, 13, 2, 7, 10, 9, 0, 15, 3, 11, 16, 6, 4]"
dfm-018-20-10x10,1599,1454,1454,1588,1588,1.486194133758545,0.0,53417,"[11, 15, 16, 14, 18, 7, 13, 10, 4, 6, 2, 0, 17, 12, 1, 19, 8, 3, 9, 5]"
dfm-019-20-10x10,1678,1578,1584,1678,1678,2.3889262676239014,0.0,89128,"[6, 18, 3, 11, 1, 0, 12, 10, 7, 17, 19, 5, 9, 4, 8, 15, 16, 2, 13, 14]"
dfm-020-20-10x10,1597,1449,1449,1597,1597,0.7205386161804199,0.0,20384,"[13, 1, 17, 0, 6, 14, 8, 5, 9, 16, 3, 10, 15, 4, 7, 19, 18, 2, 12, 11]"
dfm-021-20-15x15,2055,1810,1888,2043,1894,3600.0004494190216,0.07293196279980421,53243975,"[0, 13, 9, 16, 15, 11, 19, 2, 17, 6, 3, 10, 5, 7, 18, 14, 4, 1, 12, 8]"
dfm-022-20-15x15,2029,1786,1866,2022,2022,123.86109352111816,0.0,2363250,"[11, 12, 15, 5, 4, 0, 16, 10, 14, 1, 13, 6, 2, 17, 8, 19, 9, 7, 3, 18]"
dfm-023-20-15x15,2038,1711,1786,2032,2032,350.57527565956116,0.0,6912573,"[10, 8, 13, 7, 6, 16, 14, 0, 12, 11, 4, 5, 9, 19, 2, 18, 15, 17, 1, 3]"
dfm-024-20-15x15,2038,1751,1844,2038,2038,4.275248765945435,0.0,78820,"[16, 13, 4, 1, 14, 15, 9, 0, 19, 8, 17, 2, 11, 10, 5, 6, 18, 3, 7, 12]"
dfm-025-20-15x15,1975,1657,1710,1970,1970,87.12432432174683,0.0,1769724,"[17, 4, 18, 13, 8, 1, 9, 12, 0, 14, 7, 2, 16, 11, 10, 15, 5, 3, 19, 6]"
dfm-026-20-15x15,1942,1811,1817,1942,1942,26.970665454864502,0.0,484748,"[19, 4, 14, 1, 18, 17, 12, 7, 2, 16, 0, 15, 10, 3, 11, 9, 13, 6, 5, 8]"
dfm-027-20-15x15,2009,1688,1706,2001,2001,446.61433720588684,0.0,8974745,"[18, 8, 16, 6, 4, 7, 10, 12, 3, 17, 5, 2, 14, 9, 15, 0, 19, 1, 11, 13]"
dfm-028-20-15x15,2058,1829,1829,2058,2058,672.470379114151,0.0,10099074,"[18, 15, 10, 6, 13, 12, 11, 14, 5, 0, 3, 4, 19, 16, 8, 1, 17, 7, 9, 2]"
dfm-029-20-15x15,2029,1796,1854,2028,2028,164.67682194709778,0.0,3128218,"[8, 11, 14, 3, 5, 2, 1, 9, 4, 12, 0, 19, 13, 7, 16, 18, 15, 6, 17, 10]"
dfm-030-20-15x15,2080,1840,1898,2080,2080,1849.3296883106232,0.0,35900387,"[11, 7, 14, 5, 0, 12, 17, 13, 1, 9, 2, 6, 8, 10, 16, 19, 15, 3, 18, 4]"
dfm-031-50-7x7,3136,2968,2968,3019,3019,1.3754093647003174,0.0,35646,"[47, 13, 42, 46, 44, 8, 20, 3, 49, 24, 16, 14, 36, 23, 29, 17, 34, 12, 6, 1, 31, 15, 0, 22, 10, 19, 48, 21, 32, 41, 43, 28, 4, 18, 27, 30, 7, 39, 40, 5, 11, 45, 26, 38, 2, 37, 25, 9, 33, 35]"
dfm-032-50-7x7,3055,2958,2958,2970,2970,0.07419323921203613,0.0,730,"[44, 9, 12, 30, 39, 4, 15, 5, 13, 16, 22, 6, 10, 1, 7, 38, 29, 37, 8, 42, 2, 32, 27, 40, 34, 24, 17, 46, 3, 14, 23, 19, 21, 31, 28, 0, 20, 45, 35, 43, 25, 33, 36, 47, 49, 48, 11, 18, 26, 41]"
dfm-033-50-7x7,3142,3059,3068,3090,3090,1.4688231945037842,0.0,34966,"[49, 10, 42, 48, 24, 19, 20, 43, 39, 47, 35, 28, 17, 34, 13, 12, 31, 1, 8, 29, 41, 3, 23, 11, 30, 4, 45, 6, 40, 21, 33, 38, 22, 9, 36, 37, 26, 25, 0, 46, 7, 32, 27, 5, 14, 2, 16, 18, 15, 44]"
dfm-034-50-7x7,3023,2866,2869,2947,2947,0.4565720558166504,0.0,9344,"[18, 3, 24, 28, 11, 21, 5, 47, 2, 41, 34, 6, 14, 38, 17, 7, 37, 39, 20, 46, 0, 32, 44, 49, 12, 36, 48, 35, 4, 31, 40, 27, 42, 26, 9, 30, 43, 45, 13, 16, 15, 25, 10, 29, 1, 23, 33, 19, 8, 22]"
