name,neh,neh_ls,multistart,iga
dpm-001-20-5x6,1465,1428,1384,1384
dpm-002-20-5x6,1455,1444,1402,1385
dpm-003-20-5x6,1559,1525,1485,1485
dpm-004-20-5x6,1519,1470,1470,1458
dpm-005-20-5x6,1511,1511,1492,1465
dpm-006-20-5x6,1463,1462,1462,1462
dpm-007-20-5x6,1578,1573,1498,1494
dpm-008-20-5x6,1336,1306,1306,1306
dpm-009-20-5x6,1589,1537,1514,1514
dpm-010-20-5x6,1459,1459,1437,1431
dpm-011-20-5x9,1718,1689,1640,1640
dpm-012-20-5x9,1754,1734,1717,1713
dpm-013-20-5x9,1682,1682,1642,1637
dpm-014-20-5x9,1753,1684,1665,1666
dpm-015-20-5x9,1711,1673,1609,1609
dpm-016-20-5x9,1740,1710,1663,1659
dpm-017-20-5x9,1704,1704,1625,1623
dpm-018-20-5x9,1739,1663,1643,1643
dpm-019-20-5x9,1733,1717,1663,1663
dpm-020-20-5x9,1668,1621,1606,1606
dpm-021-20-5x14,2102,2098,1989,1994
dpm-022-20-5x14,2134,2100,2059,2056
dpm-023-20-5x14,2173,2085,2057,2052
dpm-024-20-5x14,2019,1981,1956,1948
dpm-025-20-5x14,2100,2064,2026,2029
dpm-026-20-5x14,2085,2067,2047,2047
dpm-027-20-5x14,2122,2081,2048,2040
dpm-028-20-5x14,2155,2137,2080,2065
dpm-029-20-5x14,2080,2013,1967,1982
dpm-030-20-5x14,2185,2114,2058,2058
dpm-031-50-5x6,3165,3102,3022,2997
dpm-032-50-5x6,3125,3108,3088,3085
dpm-033-50-5x6,3251,3220,3128,3108
dpm-034-50-5x6,2997,2981,2953,2953
dpm-035-50-5x6,2876,2846,2816,2802
dpm-036-50-5x6,2974,2926,2926,2926
dpm-037-50-5x6,3099,3091,3091,3091
dpm-038-50-5x6,3129,3107,3094,3080
dpm-039-50-5x6,3207,3192,3159,3117
dpm-040-50-5x6,2992,2949,2918,2918
dpm-041-50-5x9,3497,3466,3424,3424
dpm-042-50-5x9,3290,3186,3093,3054
dpm-043-50-5x9,3186,3141,3108,3115
dpm-044-50-5x9,3384,3282,3204,3177
dpm-045-50-5x9,3166,3145,3057,3055
dpm-046-50-5x9,3279,3258,3190,3151
dpm-047-50-5x9,3263,3187,3116,3121
dpm-048-50-5x9,3129,3105,3039,3011
dpm-049-50-5x9,3447,3374,3344,3318
dpm-050-50-5x9,3288,3257,3223,3185
dpm-051-50-5x14,3771,3676,3585,3553
dpm-052-50-5x14,3924,3781,3713,3667
dpm-053-50-5x14,3829,3769,3637,3609
dpm-054-50-5x14,3730,3674,3485,3419
dpm-055-50-5x14,3807,3775,3664,3619
dpm-056-50-5x14,3749,3704,3633,3564
dpm-057-50-5x14,3726,3626,3607,3566
dpm-058-50-5x14,3808,3745,3639,3629
dpm-059-50-5x14,3724,3683,3564,3519
dpm-060-50-5x14,3646,3611,3526,3490
