name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
dpm-001-20-5x6,1444,1297,1317,1365,1365,0.3090510368347168,0.0,22112,"[17, 14, 2, 16, 19, 10, 12, 9, 6, 5, 1, 4, 3, 18, 15, 11, 8, 7, 0, 13]"
dpm-002-20-5x6,1436,1328,1328,1378,1378,0.17254209518432617,0.0,13603,"[8, 6, 16, 14, 19, 7, 5, 3, 9, 1, 12, 4, 15, 17, 11, 10, 13, 2, 0, 18]"
dpm-003-20-5x6,1499,1421,1421,1434,1434,0.10083675384521484,0.0,339,"[6, 5, 2, 1, 16, 3, 13, 14, 15, 11, 7, 4, 8, 12, 9, 18, 19, 17, 0, 10]"
dpm-004-20-5x6,1517,1410,1410,1443,1443,0.08622050285339355,0.0,6260,"[12, 9, 10, 2, 3, 0, 15, 18, 19, 1, 14, 7, 8, 17, 16, 4, 6, 5, 13, 11]"
dpm-005-20-5x6,1435,1287,1337,1380,1380,19.688310384750366,0.0,1278364,"[9, 0, 1, 2, 4, 7, 16, 6, 10, 3, 15, 18, 19, 13, 11, 12, 17, 8, 14, 5]"
dpm-006-20-5x6,1461,1434,1434,1434,1434,0.001810312271118164,0.0,1,"[8, 12, 7, 6, 16, 11, 5, 1, 15, 17, 9, 2, 13, 4, 18, 19, 10, 3, 0, 14]"
dpm-007-20-5x6,1513,1363,1373,1460,1460,1.4726059436798096,0.0,125843,"[7, 13, 2, 10, 15, 12, 3, 11, 16, 0, 4, 19, 17, 9, 18, 8, 14, 1, 6, 5]"
dpm-008-20-5x6,1337,1306,1306,1306,1306,0.002531766891479492,0.0,3,"[2, 8, 1, 18, 14, 0, 13, 11, 9, 10, 15, 3, 17, 5, 7, 12, 19, 16, 6, 4]"
dpm-009-20-5x6,1538,1458,1473,1497,1497,6.446497440338135,0.0,429405,"[16, 13, 19, 11, 18, 7, 12, 0, 17, 6, 5, 3, 14, 1, 8, 15, 10, 2, 9, 4]"
dpm-010-20-5x6,1497,1350,1351,1421,1421,0.14206576347351074,0.0,8704,"[11, 14, 2, 3, 4, 19, 7, 9, 6, 17, 13, 16, 5, 8, 1, 15, 0, 10, 18, 12]"
dpm-011-20-5x9,1641,1482,1517,1632,1632,0.5607068538665771,0.0,25173,"[4, 10, 14, 19, 12, 1, 6, 3, 2, 15, 16, 11, 17, 0, 9, 5, 7, 18, 13, 8]"
dpm-012-20-5x9,1621,1479,1539,1615,1615,32.004992723464966,0.0,1184853,"[6, 8, 9, 4, 18, 5, 17, 13, 14, 0, 1, 3, 2, 16, 10, 12, 15, 7, 19, 11]"
dpm-013-20-5x9,1551,1497,1497,1551,1551,0.1824936866760254,0.0,1609,"[9, 14, 2, 6, 5, 15, 0, 17, 8, 13, 1, 7, 4, 16, 10, 12, 18, 11, 3, 19]"
dpm-014-20-5x9,1625,1519,1526,1617,1617,1.1274888515472412,0.0,56191,"[3, 7, 18, 9, 10, 17, 8, 4, 5, 6, 19, 16, 13, 11, 12, 1, 2, 14, 0, 15]"
dpm-015-20-5x9,1602,1478,1505,1600,1600,57.39775466918945,0.0,2387862,"[9, 16, 7, 4, 10, 6, 18, 13, 8, 11, 2, 0, 12, 1, 15, 17, 19, 3, 5, 14]"
