name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
dpm-001-20-5x6,1465,1326,1326,1381,1381,0.24048471450805664,0.0,16172,"[17, 10, 2, 15, 16, 19, 6, 18, 14, 12, 9, 5, 1, 4, 3, 11, 8, 7, 0, 13]"
dpm-002-20-5x6,1455,1328,1328,1385,1385,0.11087846755981445,0.0,7605,"[6, 3, 14, 8, 19, 0, 16, 1, 7, 11, 9, 5, 12, 4, 15, 2, 10, 13, 18, 17]"
dpm-003-20-5x6,1559,1470,1470,1485,1485,0.005122184753417969,0.0,77,"[1, 16, 6, 7, 11, 17, 12, 3, 2, 14, 8, 4, 0, 13, 9, 19, 18, 15, 5, 10]"
dpm-004-20-5x6,1519,1413,1413,1458,1458,0.1112523078918457,0.0,7669,"[9, 19, 12, 10, 2, 0, 15, 18, 4, 5, 7, 8, 3, 6, 14, 16, 1, 13, 17, 11]"
dpm-005-20-5x6,1511,1371,1382,1465,1465,262.18942856788635,0.0,14813580,"[0, 1, 2, 14, 12, 4, 9, 10, 8, 16, 15, 19, 13, 11, 6, 17, 18, 7, 3, 5]"
dpm-006-20-5x6,1463,1458,1458,1462,1462,0.0012035369873046875,0.0,1,"[7, 5, 6, 16, 1, 18, 10, 8, 17, 15, 11, 9, 12, 2, 13, 4, 19, 3, 0, 14]"
dpm-007-20-5x6,1578,1395,1422,1486,1486,0.33435511589050293,0.0,22816,"[7, 15, 13, 2, 11, 10, 17, 8, 0, 4, 3, 1, 9, 19, 14, 16, 18, 6, 12, 5]"
dpm-008-20-5x6,1336,1306,1306,1306,1306,0.0010426044464111328,0.0,0,"[8, 2, 17, 1, 18, 14, 6, 11, 13, 15, 9, 12, 5, 3, 7, 19, 16, 0, 10, 4]"
dpm-009-20-5x6,1589,1458,1473,1504,1504,13.136669397354126,0.0,639317,"[10, 17, 18, 12, 11, 13, 0, 5, 3, 16, 6, 2, 7, 1, 8, 15, 14, 19, 4, 9]"
dpm-010-20-5x6,1459,1350,1362,1429,1429,0.40868210792541504,0.0,24014,"[1, 2, 14, 3, 7, 17, 13, 4, 16, 5, 8, 6, 19, 0, 10, 11, 15, 12, 18, 9]"
dpm-011-20-5x9,1640,1494,1529,1640,1640,0.3095071315765381,0.0,9269,"[4, 14, 12, 1, 19, 17, 3, 9, 6, 11, 15, 16, 0, 5, 2, 10, 7, 18, 13, 8]"
dpm-012-20-5x9,1713,1486,1610,1704,1704,2401.089183807373,0.0,69585225,"[4, 13, 18, 5, 8, 17, 7, 9, 16, 11, 0, 1, 10, 2, 6, 3, 14, 12, 15, 19]"
dpm-013-20-5x9,1637,1514,1514,1637,1637,42.0806245803833,0.0,1662298,"[6, 5, 9, 14, 0, 2, 12, 17, 8, 1, 13, 16, 4, 10, 15, 7, 18, 11, 3, 19]"
dpm-014-20-5x9,1666,1519,1526,1645,1645,5.9924843311309814,0.0,266177,"[10, 1, 18, 5, 6, 19, 8, 7, 4, 12, 16, 13, 9, 11, 2, 0, 14, 17, 3, 15]"
dpm-015-20-5x9,1609,1478,1505,1604,1604,77.78054118156433,0.0,2516518,"[16, 4, 7, 10, 0, 11, 6, 18, 15, 12, 13, 8, 1, 17, 19, 3, 14, 5, 2, 9]"
dpm-016-20-5x9,1659,1559,1559,1659,1659,0.5034759044647217,0.0,19661,"[7, 1, 2, 19, 14, 0, 11, 10, 15, 5, 8, 17, 12, 13, 9, 3, 16, 4, 18, 6]"
dpm-017-20-5x9,1623,1584,1584,1615,1615,1.8337533473968506,0.0,72794,"[17, 14, 5, 11, 6, 12, 13, 3, 16, 19, 8, 18, 15, 4, 10, 0, 1, 2, 9, 7]"
dpm-018-20-5x9,1643,1455,1505,1642,1642,19.001582384109497,0.0,658554,"[16, 5, 3, 18, 13, 6, 15, 4, 0, 19, 17, 8, 2, 7, 10, 1, 12, 9, 11, 14]"
dpm-019-20-5x9,1663,1623,1623,1663,1663,0.742142915725708,0.0,29589,"[17, 15, 7, 14, 16, 4, 13, 19, 9, 12, 6, 3, 10, 5, 2, 11, 1, 18, 8, 0]"
dpm-020-20-5x9,1606,1476,1507,1598,1598,4.024632692337036,0.0,181021,"[10, 18, 0, 4, 17, 5, 12, 2, 11, 3, 13, 1, 7, 9, 8, 19, 6, 16, 15, 14]"
dpm-021-20-5x14,1994,1661,1839,1983,1983,2097.404546737671,0.0,31512082,"[10, 0, 18, 14, 17, 15, 19, 3, 5, 6, 7, 4, 8, 13, 12, 1, 2, 9, 16, 11]"
dpm-022-20-5x14,2056,1832,1858,2056,2056,9.683014392852783,0.0,225113,"[6, 19, 10, 0, 13, 9, 2, 12, 11, 7, 17, 1, 14, 5, 3, 8, 18, 15, 16, 4]"
dpm-023-20-5x14,2052,1863,1863,2052,2052,344.4333407878876,0.0,7351295,"[10, 2, 15, 16, 13, 9, 12, 3, 14, 5, 8, 18, 4, 17, 0, 1, 11, 19, 6, 7]"
dpm-024-20-5x14,1948,1718,1751,1939,1939,95.66413974761963,0.0,2054038,"[11, 13, 10, 14, 8, 6, 1, 17, 15, 5, 4, 7, 12, 0, 18, 16, 2, 19, 3, 9]"
dpm-025-20-5x14,2029,1697,1797,2012,2012,513.3183572292328,0.0,12911141,"[18, 1, 2, 6, 17, 7, 3, 14, 5, 12, 9, 19, 0, 11, 10, 15, 16, 8, 13, 4]"
dpm-026-20-5x14,2047,1898,1926,2045,2045,15.920921087265015,0.0,347181,"[19, 11, 4, 17, 13, 14, 16, 10, 9, 3, 18, 2, 0, 7, 15, 1, 6, 8, 5, 12]"
dpm-027-20-5x14,2040,1755,1755,2040,2040,204.3009865283966,0.0,4737282,"[10, 8, 11, 3, 13, 1, 17, 19, 5, 4, 14, 9, 15, 0, 2, 12, 16, 7, 6, 18]"
dpm-028-20-5x14,2065,1916,1961,2061,2061,255.57805681228638,0.0,4275440,"[9, 17, 8, 0, 1, 5, 15, 19, 2, 16, 6, 11, 13, 3, 7, 18, 12, 10, 4, 14]"
dpm-029-20-5x14,1982,1827,1862,1964,1964,60.17016243934631,0.0,1413840,"[2, 6, 1, 9, 14, 19, 0, 17, 13, 7, 15, 18, 8, 11, 16, 3, 5, 4, 10, 12]"
dpm-030-20-5x14,2058,1657,1817,2048,1892,3600.000239610672,0.076171875,64166075,"[7, 12, 16, 11, 13, 3, 17, 15, 1, 6, 18, 10, 19, 14, 5, 0, 4, 9, 8, 2]"
dpm-031-50-5x6,3165,2934,2965,2994,2994,1445.1430411338806,0.0,41315988,"[8, 35, 49, 30, 5, 39, 36, 38, 41, 3, 28, 42, 48, 1, 12, 32, 23, 15, 4, 34, 20, 6, 17, 11, 0, 16, 19, 22, 43, 27, 40, 45, 29, 31, 26, 21, 13, 44, 18, 9, 7, 24, 46, 2, 37, 33, 25, 14, 47, 10]"
dpm-032-50-5x6,3125,3004,3010,3085,3085,0.038051605224609375,0.0,432,"[4, 13, 3, 49, 5, 12, 10, 18, 22, 35, 1, 29, 44, 23, 34, 42, 45, 28, 38, 40, 43, 14, 24, 7, 27, 2, 46, 9, 8, 32, 15, 19, 30, 26, 48, 37, 20, 41, 36, 0, 6, 16, 31, 47, 21, 17, 33, 25, 39, 11]"
dpm-033-50-5x6,3251,3036,3050,3078,3078,13.555347681045532,0.0,474077,"[10, 24, 48, 32, 5, 31, 0, 17, 46, 9, 43, 30, 7, 45, 38, 12, 29, 4, 26, 21, 33, 3, 2, 8, 25, 23, 11, 34, 36, 39, 16, 22, 15, 28, 42, 14, 20, 40, 1, 41, 13, 49, 6, 35, 37, 27, 44, 18, 19, 47]"
dpm-034-50-5x6,2997,2879,2912,2941,2941,92.49833011627197,0.0,2226335,"[20, 19, 8, 10, 7, 25, 2, 11, 45, 47, 13, 3, 43, 28, 22, 0, 26, 41, 32, 16, 35, 12, 42, 36, 29, 38, 4, 31, 33, 44, 37, 49, 21, 15, 1, 27, 30, 40, 23, 9, 46, 48, 39, 5, 18, 17, 14, 34, 24, 6]"
dpm-035-50-5x6,2876,2794,2794,2802,2802,0.14437508583068848,0.0,1713,"[9, 13, 48, 47, 26, 6, 15, 29, 49, 41, 2, 34, 40, 45, 4, 3, 44, 20, 27, 46, 1, 32, 14, 21, 30, 33, 22, 19, 38, 39, 25, 11, 37, 5, 16, 36, 0, 24, 23, 18, 43, 17, 42, 31, 28, 7, 8, 35, 10, 12]"
dpm-036-50-5x6,2974,2926,2926,2926,2926,0.006101846694946289,0.0,0,"[1, 9, 4, 48, 30, 17, 26, 32, 21, 2, 49, 45, 5, 20, 16, 11, 0, 13, 12, 28, 15, 25, 23, 31, 36, 35, 24, 41, 33, 27, 19, 39, 40, 38, 7, 8, 3, 42, 6, 10, 34, 18, 37, 46, 44, 29, 47, 14, 43, 22]"
dpm-037-50-5x6,3099,3091,3091,3091,3091,0.004967927932739258,0.0,0,"[12, 49, 47, 3, 16, 44, 40, 22, 4, 36, 21, 28, 35, 33, 38, 0, 24, 8, 2, 5, 34, 48, 15, 27, 25, 11, 10, 23, 42, 46, 31, 37, 13, 9, 30, 17, 29, 45, 1, 32, 7, 18, 20, 41, 26, 39, 43, 6, 19, 14]"
dpm-038-50-5x6,3129,3063,3063,3078,3078,0.24491262435913086,0.0,4758,"[30, 21, 34, 11, 32, 20, 38, 8, 45, 37, 5, 28, 35, 39, 12, 36, 13, 18, 41, 23, 17, 4, 16, 26, 15, 33, 43, 10, 22, 27, 42, 7, 2, 24, 44, 40, 46, 31, 0, 19, 49, 9, 48, 47, 3, 14, 25, 6, 1, 29]"
dpm-039-50-5x6,3207,3011,3019,3113,3113,11.257631301879883,0.0,450614,"[41, 11, 2, 5, 12, 45, 9, 31, 20, 33, 47, 25, 49, 18, 28, 37, 30, 19, 22, 3, 14, 46, 24, 40, 4, 38, 8, 1, 36, 43, 39, 17, 27, 23, 29, 6, 48, 26, 35, 15, 42, 32, 0, 21, 7, 10, 16, 13, 34, 44]"
dpm-040-50-5x6,2992,2898,2906,2906,2906,1.2416419982910156,0.0,55721,"[18, 9, 42, 20, 47, 7, 40, 13, 10, 34, 25, 43, 30, 37, 44, 41, 4, 16, 27, 11, 28, 45, 23, 5, 8, 1, 22, 36, 6, 49, 32, 35, 14, 12, 48, 3, 26, 29, 46, 21, 38, 19, 24, 15, 31, 2, 0, 39, 17, 33]"
dpm-041-50-5x9,3424,3424,3424,3424,3424,1.498000144958496,0.0,0,"[1, 21, 31, 20, 37, 29, 10, 33, 23, 48, 38, 22, 41, 11, 7, 42, 18, 13, 34, 25, 2, 32, 5, 17, 0, 46, 39, 40, 12, 28, 15, 4, 26, 14, 27, 8, 19, 45, 9, 36, 6, 43, 24, 49, 44, 47, 30, 16, 35, 3]"
dpm-042-50-5x9,3054,2920,2989,3024,3024,131.29936480522156,0.0,3430265,"[40, 10, 24, 20, 34, 39, 11, 46, 16, 12, 21, 38, 4, 19, 43, 8, 2, 30, 25, 32, 44, 48, 28, 22, 1, 0, 45, 5, 42, 14, 9, 37, 49, 3, 47, 35, 29, 17, 27, 13, 18, 36, 7, 23, 26, 6, 41, 15, 31, 33]"
dpm-043-50-5x9,3115,3066,3066,3080,3080,4.5554351806640625,0.0,88810,"[0, 49, 10, 17, 7, 38, 40, 25, 37, 34, 29, 14, 4, 1, 42, 35, 15, 48, 12, 47, 43, 19, 2, 13, 30, 5, 9, 33, 46, 45, 31, 20, 16, 11, 44, 21, 23, 8, 32, 28, 18, 27, 39, 6, 26, 41, 22, 36, 3, 24]"
dpm-044-50-5x9,3177,3077,3077,3133,3133,293.7563102245331,0.0,6896589,"[26, 33, 29, 19, 27, 43, 22, 42, 34, 8, 46, 25, 14, 28, 16, 17, 36, 38, 7, 18, 37, 23, 2, 5, 13, 6, 12, 48, 44, 4, 20, 47, 11, 45, 24, 0, 49, 41, 39, 10, 31, 40, 21, 35, 3, 9, 1, 32, 15, 30]"
dpm-045-50-5x9,3055,2915,2915,3017,3017,726.3241777420044,0.0,19483846,"[15, 10, 8, 2, 46, 41, 13, 3, 33, 32, 7, 23, 22, 31, 4, 34, 18, 39, 6, 44, 49, 35, 16, 38, 21, 25, 29, 17, 42, 43, 24, 5, 36, 47, 26, 9, 11, 14, 20, 45, 48, 37, 0, 40, 19, 1, 28, 12, 30, 27]"
dpm-046-50-5x9,3151,3019,3058,3121,3096,3600.000210046768,0.008010253123998718,84415609,"[49, 10, 40, 46, 0, 2, 27, 17, 5, 13, 22, 25, 4, 33, 44, 6, 19, 26, 23, 16, 14, 7, 8, 39, 35, 48, 3, 43, 38, 45, 11, 9, 21, 12, 24, 28, 20, 36, 32, 31, 34, 15, 41, 29, 42, 30, 47, 18, 37, 1]"
dpm-047-50-5x9,3121,3091,3091,3103,3103,12.622140169143677,0.0,268964,"[48, 37, 40, 2, 47, 45, 44, 4, 16, 24, 38, 22, 32, 0, 29, 5, 30, 3, 25, 49, 17, 18, 35, 46, 41, 10, 1, 27, 11, 33, 20, 31, 13, 26, 42, 8, 15, 21, 19, 39, 12, 34, 28, 43, 6, 36, 7, 14, 23, 9]"
dpm-048-50-5x9,3011,2934,2984,2985,2985,2353.29931473732,0.0,54752268,"[46, 28, 13, 35, 11, 42, 49, 38, 5, 14, 24, 31, 4, 34, 27, 33, 0, 37, 23, 3, 8, 40, 19, 41, 9, 21, 30, 12, 22, 10, 29, 44, 45, 15, 36, 2, 32, 17, 20, 25, 47, 7, 18, 1, 43, 26, 6, 16, 39, 48]"
dpm-049-50-5x9,3318,3221,3241,3301,3301,2195.650470495224,0.0,49290965,"[27, 3, 24, 40, 32, 20, 13, 47, 4, 1, 18, 37, 29, 41, 5, 19, 9, 35, 22, 11, 46, 26, 36, 2, 23, 45, 48, 34, 25, 28, 15, 38, 17, 31, 43, 7, 6, 33, 42, 30, 0, 21, 16, 39, 8, 12, 14, 49, 10, 44]"
dpm-050-50-5x9,3185,3098,3098,3180,3110,3600.0003368854523,0.0220125786163522,75698559,"[40, 20, 23, 29, 38, 35, 46, 11, 14, 47, 1, 2, 30, 44, 15, 27, 37, 18, 21, 24, 10, 49, 25, 41, 9, 33, 48, 3, 22, 45, 17, 6, 5, 4, 43, 26, 32, 13, 19, 39, 16, 8, 28, 31, 7, 42, 36, 0, 34, 12]"
dpm-051-50-5x14,3553,3300,3300,3553,3300,3600.0832846164703,0.07120743034055728,52301783,"[2, 32, 20, 49, 3, 33, 9, 36, 26, 41, 31, 38, 35, 34, 24, 28, 47, 6, 44, 7, 39, 4, 29, 1, 0, 17, 16, 25, 15, 27, 37, 22, 14, 10, 12, 23, 46, 48, 42, 18, 43, 13, 45, 8, 19, 30, 11, 40, 21, 5]"
dpm-052-50-5x14,3667,3283,3355,3667,3346,3600.0003349781036,0.08753749659121898,43726405,"[10, 47, 20, 19, 3, 11, 13, 31, 38, 30, 16, 6, 39, 23, 44, 36, 0, 7, 14, 12, 17, 48, 1, 18, 43, 25, 15, 33, 28, 40, 9, 32, 4, 49, 5, 21, 27, 37, 2, 8, 45, 29, 24, 22, 34, 46, 26, 35, 42, 41]"
dpm-053-50-5x14,3609,3355,3407,3609,3412,3600.0003204345703,0.05458575782765309,43576687,"[24, 34, 15, 30, 42, 8, 48, 41, 37, 1, 6, 14, 45, 10, 49, 2, 17, 43, 26, 44, 40, 47, 16, 0, 31, 29, 9, 12, 7, 21, 3, 27, 19, 38, 25, 11, 28, 4, 36, 32, 18, 20, 46, 13, 35, 23, 39, 5, 33, 22]"
dpm-054-50-5x14,3419,3192,3221,3419,3193,3600.0002534389496,0.0661011991810471,44041646,"[23, 15, 47, 41, 10, 2, 27, 38, 20, 35, 43, 49, 26, 17, 34, 12, 18, 30, 4, 11, 40, 32, 33, 22, 45, 1, 24, 16, 6, 48, 7, 5, 44, 31, 25, 39, 21, 14, 13, 3, 9, 46, 19, 29, 37, 8, 36, 0, 28, 42]"
dpm-055-50-5x14,3619,3477,3553,3619,3494,3600.0002999305725,0.03453992815694943,46537184,"[21, 32, 39, 8, 28, 48, 27, 36, 7, 3, 34, 43, 25, 6, 5, 45, 2, 42, 37, 17, 44, 1, 15, 40, 13, 24, 33, 4, 46, 29, 18, 31, 0, 16, 30, 49, 23, 26, 38, 12, 19, 10, 14, 35, 22, 20, 47, 9, 41, 11]"
dpm-056-50-5x14,3564,3389,3400,3564,3398,3600.0002913475037,0.04657687991021325,43835949,"[35, 22, 5, 15, 40, 24, 48, 21, 17, 18, 8, 39, 32, 23, 49, 38, 20, 19, 13, 33, 42, 45, 34, 0, 30, 47, 44, 2, 12, 1, 10, 36, 25, 29, 4, 41, 7, 37, 31, 14, 46, 26, 28, 43, 6, 11, 9, 3, 16, 27]"
dpm-057-50-5x14,3566,3442,3442,3566,3442,3600.000415086746,0.034772854739203586,43476218,"[31, 36, 19, 26, 49, 46, 20, 1, 17, 0, 45, 21, 40, 44, 7, 14, 11, 34, 5, 24, 42, 16, 2, 47, 43, 18, 41, 32, 35, 12, 48, 3, 23, 9, 15, 25, 33, 22, 8, 27, 29, 6, 13, 39, 30, 38, 4, 37, 28, 10]"
dpm-058-50-5x14,3629,3481,3519,3628,3492,3600.500239610672,0.037486218302094816,49417104,"[0, 11, 41, 12, 40, 2, 44, 31, 34, 33, 25, 30, 5, 32, 46, 26, 36, 27, 49, 7, 19, 10, 37, 6, 14, 8, 17, 42, 21, 47, 38, 9, 24, 23, 20, 48, 39, 15, 29, 45, 16, 1, 18, 3, 35, 13, 4, 43, 28, 22]"
dpm-059-50-5x14,3519,3268,3293,3519,3275,3600.0002949237823,0.06933788007956806,43542394,"[15, 36, 38, 5, 37, 25, 39, 35, 18, 49, 8, 11, 21, 32, 12, 26, 17, 7, 43, 23, 2, 42, 20, 10, 45, 44, 33, 16, 1, 14, 19, 27, 40, 9, 41, 48, 29, 3, 34, 24, 0, 28, 6, 47, 13, 30, 46, 31, 4, 22]"
dpm-060-50-5x14,3490,3311,3341,3490,3334,3600.000257730484,0.04469914040114613,43361409,"[47, 13, 11, 18, 42, 10, 37, 7, 41, 38, 49, 20, 22, 33, 6, 44, 5, 30, 8, 29, 39, 19, 26, 15, 21, 34, 0, 28, 46, 9, 45, 3, 48, 36, 2, 23, 1, 27, 25, 16, 40, 14, 31, 35, 4, 17, 43, 24, 32, 12]"
