Group,Instance,t(p),t(*),t(p) / t(*),LB,Nodes
1,ta001,0.0,0.0,0.6,1278,85
1,ta002,0.3,0.4,0.7,1359,26019
1,ta003,0.0,0.0,1.6,1081,21
1,ta004,0.0,0.0,0.5,1293,16
1,ta005,0.8,0.9,0.9,1235,82199
1,ta006,0.0,0.0,0.9,1195,58
1,ta007,0.0,0.0,0.9,1234,1
1,ta008,0.0,0.0,0.3,1206,21
1,ta009,0.0,0.0,0.6,1230,454
1,ta010,0.0,0.0,0.3,1108,5
2,ta011,2.7,2.9,0.9,1582,183654
2,ta012,1.8,2.4,0.7,1659,109364
2,ta013,4.4,5.0,0.9,1496,170845
2,ta014,0.5,0.7,0.8,1377,41096
2,ta015,0.6,0.7,0.9,1419,39934
2,ta016,0.1,0.1,0.7,1397,3568
2,ta017,214.5,243.0,0.9,1484,9857028
2,ta018,1.9,2.7,0.7,1538,125451
2,ta019,0.0,0.0,0.6,1593,1667
2,ta020,4.7,6.4,0.7,1591,290443
4,ta031,0.0,0.0,0.7,2724,5
4,ta032,0.0,0.0,0.6,2834,10
4,ta033,0.0,0.0,0.4,2621,21
4,ta034,0.0,0.0,0.8,2751,15
4,ta035,0.0,0.0,0.3,2863,240
4,ta036,0.0,0.0,0.6,2829,15
4,ta037,0.0,0.0,0.9,2725,7
4,ta038,0.0,0.0,0.5,2683,1
4,ta039,0.0,0.0,0.5,2552,37
4,ta040,0.0,0.0,0.9,2782,2
5,ta041,2.2,5.2,0.4,2991,80132
5,ta042,142.6,302.8,0.5,2867,4132883
5,ta043,136.7,235.4,0.6,2839,4706113
5,ta044,0.0,0.1,0.3,3063,1082
5,ta045,1.5,5.1,0.3,2976,46396
5,ta046,0.0,0.0,0.5,3006,77
5,ta047,55.3,201.5,0.3,3093,1548521
5,ta048,0.0,0.0,0.3,3037,287
5,ta049,0.9,2.4,0.4,2897,29661
5,ta050,169.5,333.1,0.5,3065,5792698
