name,execution_time,upper_bound,lower_bound,gap,status,nodes
ta001,0.0023949146270751953,1278.0,1278.0,0.0,2,144
ta002,0.2953014373779297,1359.0,1359.0,0.0,2,26033
ta003,0.005205631256103516,1081.0,1081.0,0.0,2,448
ta004,0.005299568176269531,1293.0,1293.0,0.0,2,294
ta005,0.7487380504608154,1235.0,1235.0,0.0,2,89990
ta006,0.0048863887786865234,1195.0,1195.0,0.0,2,260
ta007,0.008990049362182617,1234.0,1234.0,0.0,2,985
ta008,0.004890918731689453,1206.0,1206.0,0.0,2,284
ta009,0.01616072654724121,1230.0,1230.0,0.0,2,1849
ta010,0.0033533573150634766,1108.0,1108.0,0.0,2,63
ta011,3.9901280403137207,1582.0,1582.0,0.0,2,297000
ta012,12.421693086624146,1659.0,1659.0,0.0,2,820038
ta013,10.324027299880981,1496.0,1496.0,0.0,2,591841
ta014,2.0100526809692383,1377.0,1377.0,0.0,2,152047
ta015,3.506625175476074,1419.0,1419.0,0.0,2,269425
ta016,9.03663182258606,1397.0,1397.0,0.0,2,691713
ta018,7.109385967254639,1538.0,1538.0,0.0,2,470087
ta019,0.991316556930542,1593.0,1593.0,0.0,2,78457
ta020,17.45197868347168,1591.0,1591.0,0.0,2,906400
