name,execution_time,lower_bound,lb1_start,lb2_start,status,nodes
ta001,0.0007491111755371094,1278,1232,1278,2,0
ta002,0.3141787052154541,1359,1290,1355,2,22676
ta003,0.0015919208526611328,1081,1073,1073,2,21
ta004,0.001512765884399414,1293,1268,1268,2,16
ta005,0.7049188613891602,1235,1198,1217,2,81749
ta006,0.002207040786743164,1195,1180,1181,2,53
ta007,0.0012545585632324219,1234,1226,1226,2,1
ta008,0.0011529922485351562,1206,1170,1170,2,21
ta009,0.006746053695678711,1230,1206,1208,2,448
ta010,0.0009431838989257812,1108,1082,1085,2,5
ta011,4.4576075077056885,1582,1448,1494,2,183322
ta012,1.8894753456115723,1659,1479,1552,2,108245
ta013,2.655837297439575,1496,1407,1407,2,170845
ta014,0.7135381698608398,1377,1308,1337,2,41058
ta015,0.7770481109619141,1419,1325,1344,2,39911
ta016,0.06603193283081055,1397,1290,1313,2,3459
ta017,226.99821853637695,1484,1388,1416,2,9833308
ta018,4.223216533660889,1538,1363,1379,2,125074
ta019,0.031049489974975586,1593,1472,1534,2,1615
ta020,5.803878545761108,1591,1356,1496,2,289192
ta031,0.001986980438232422,2724,2712,2712,2,5
ta032,0.0018320083618164062,2834,2808,2827,2,10
ta033,0.0031843185424804688,2621,2596,2596,2,21
ta034,0.0024824142456054688,2751,2740,2740,2,15
ta035,0.011490345001220703,2863,2837,2842,2,235
ta036,0.002223491668701172,2829,2793,2820,2,9
ta037,0.0019268989562988281,2725,2689,2724,2,3
ta038,0.0011875629425048828,2683,2667,2683,2,0
ta039,0.002674102783203125,2552,2527,2527,2,37
ta040,0.0016591548919677734,2782,2776,2776,2,2
ta041,2.5582308769226074,2991,2907,2926,2,80090
ta042,146.714430809021,2867,2821,2828,2,4131459
ta043,135.4957525730133,2839,2801,2808,2,4706094
ta044,0.014559507369995117,3063,2968,3023,2,210
ta045,1.4801695346832275,2976,2908,2908,2,46396
ta046,0.008517026901245117,3006,2941,2941,2,77
ta047,59.76072812080383,3093,3062,3063,2,1278250
ta048,0.01586151123046875,3037,2959,2991,2,280
ta049,0.944692850112915,2897,2795,2822,2,29624
ta050,178.55357146263123,3065,3046,3046,2,5792698
