name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
d2f-007-20-7x7,1556,1373,1406,1457.0,1457.0,7.368344068527222,0.0,127645,"[7, 3, 18, 13, 15, 0, 9, 5, 10, 2, 19, 17, 1, 12, 8, 14, 4, 6, 16, 11]"
d2f-038-50-7x7,3196,3073,3092,3110.0,3110.0,1.7014977931976318,0.0,5076,"[30, 5, 13, 32, 9, 43, 20, 10, 35, 49, 11, 34, 12, 26, 47, 24, 44, 19, 37, 36, 16, 7, 25, 8, 14, 33, 41, 27, 15, 3, 1, 48, 2, 38, 28, 46, 22, 4, 39, 42, 31, 29, 40, 21, 17, 45, 6, 18, 23, 0]"
d2f-015-20-10x10,1662,1411,1481,1604.0,1604.0,66.50151252746582,0.0,890761,"[18, 4, 10, 17, 3, 0, 9, 2, 6, 5, 19, 13, 15, 11, 8, 12, 1, 16, 7, 14]"
d2f-016-20-10x10,1717,1511,1556,1618.0,1618.0,16.703733444213867,0.0,186120,"[5, 0, 8, 18, 11, 6, 10, 17, 12, 1, 15, 9, 19, 4, 13, 3, 2, 14, 7, 16]"
d2f-023-20-15x15,2125,1711,1845,2043.0,2043.0,538.657842874527,0.0,2632877,"[10, 4, 5, 12, 8, 13, 7, 6, 15, 16, 11, 14, 1, 3, 9, 0, 19, 2, 18, 17]"
d2f-006-20-7x7,1458,1409,1409,1409.0,1409.0,0.008531332015991211,0.0,1,"[8, 5, 7, 15, 11, 6, 17, 16, 9, 3, 13, 19, 4, 18, 12, 2, 1, 14, 0, 10]"
d2f-060-50-15x15,3804,3326,3376,3730.0,3459.0,5400.001603841782,0.07265415549597855,14078330,"[20, 25, 39, 8, 43, 41, 7, 11, 42, 47, 14, 48, 13, 0, 2, 40, 34, 5, 29, 15, 44, 4, 19, 21, 3, 9, 45, 37, 17, 16, 1, 46, 22, 27, 36, 18, 33, 49, 30, 12, 38, 26, 31, 10, 28, 23, 35, 24, 6, 32]"
d2f-001-20-7x7,1521,1455,1486,1487.0,1487.0,1.7536182403564453,0.0,35893,"[15, 18, 11, 0, 10, 13, 7, 16, 9, 4, 14, 12, 6, 5, 19, 17, 3, 8, 2, 1]"
d2f-057-50-15x15,3889,3349,3423,3736.0,3427.0,5400.001038789749,0.08270877944325482,15431676,"[0, 49, 30, 48, 33, 19, 37, 38, 6, 39, 13, 32, 28, 25, 24, 7, 23, 17, 5, 44, 42, 45, 26, 1, 16, 46, 20, 29, 27, 14, 34, 47, 2, 41, 35, 43, 12, 4, 15, 11, 18, 21, 40, 22, 8, 10, 9, 3, 36, 31]"
d2f-013-20-10x10,1745,1444,1548,1650.0,1650.0,226.8638608455658,0.0,2640423,"[7, 3, 14, 6, 16, 12, 10, 11, 9, 2, 0, 18, 1, 8, 4, 13, 5, 17, 15, 19]"
