name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
dpm-037-50-5x6,3130,3091,3091,3091.0,3091.0,0.4991180896759033,0.0,22,"[6, 29, 22, 8, 0, 49, 24, 40, 21, 31, 41, 47, 46, 34, 17, 27, 20, 4, 28, 36, 15, 2, 5, 48, 44, 35, 38, 25, 11, 13, 16, 37, 30, 1, 23, 10, 9, 33, 39, 42, 18, 45, 26, 7, 32, 12, 43, 3, 19, 14]"
dpm-052-50-5x14,3964,3283,3355,3795.0,3391.0,5400.000995159149,0.10645586297760211,15965465,"[11, 49, 10, 47, 9, 42, 13, 38, 28, 4, 25, 8, 16, 17, 30, 19, 23, 44, 3, 34, 39, 29, 46, 36, 0, 31, 18, 27, 37, 1, 7, 35, 41, 21, 14, 12, 15, 24, 48, 40, 2, 45, 20, 33, 6, 5, 22, 43, 26, 32]"
dpm-040-50-5x6,3048,2898,2917,2906.0,2906.0,16.81700372695923,0.0,149517,"[18, 9, 43, 46, 13, 40, 19, 41, 37, 32, 35, 34, 7, 4, 11, 38, 5, 27, 23, 16, 47, 36, 28, 6, 44, 10, 30, 24, 8, 1, 14, 12, 48, 49, 26, 22, 20, 25, 21, 29, 45, 15, 39, 3, 42, 31, 2, 0, 17, 33]"
dpm-055-50-5x14,3759,3477,3553,3699.0,3570.0,5400.000775337219,0.034874290348742905,26156136,"[21, 43, 48, 32, 14, 46, 44, 3, 42, 6, 5, 8, 25, 36, 17, 45, 4, 19, 1, 22, 26, 27, 31, 34, 37, 13, 33, 0, 10, 38, 12, 24, 29, 35, 15, 7, 39, 16, 2, 40, 41, 18, 28, 49, 23, 11, 20, 9, 30, 47]"
dpm-006-20-5x6,1488,1458,1462,1462.0,1462.0,0.00979471206665039,0.0,7,"[7, 5, 8, 6, 16, 18, 1, 15, 9, 12, 17, 2, 13, 11, 4, 19, 3, 0, 10, 14]"
dpm-007-20-5x6,1601,1395,1422,1487.0,1487.0,0.551008939743042,0.0,11451,"[7, 15, 13, 2, 11, 10, 17, 8, 18, 4, 16, 3, 1, 14, 19, 0, 12, 5, 9, 6]"
dpm-011-20-5x9,1709,1494,1547,1649.0,1649.0,3.1155827045440674,0.0,46973,"[4, 14, 6, 12, 1, 19, 3, 9, 15, 2, 16, 18, 17, 0, 5, 11, 10, 7, 13, 8]"
dpm-032-50-5x6,3213,3004,3050,3089.0,3089.0,2.4901692867279053,0.0,387,"[4, 5, 31, 49, 29, 17, 3, 12, 14, 15, 1, 35, 38, 0, 20, 10, 22, 23, 34, 42, 46, 19, 40, 24, 27, 43, 45, 2, 30, 32, 41, 9, 28, 26, 8, 37, 48, 7, 11, 39, 21, 47, 16, 18, 44, 13, 33, 25, 6, 36]"
dpm-015-20-5x9,1707,1478,1515,1609.0,1609.0,1500.5197055339813,0.0,18829318,"[16, 4, 7, 9, 10, 0, 6, 18, 11, 15, 2, 12, 13, 19, 1, 8, 17, 3, 14, 5]"
dpm-024-20-5x14,2023,1718,1802,1939.0,1939.0,339.9335923194885,0.0,2625350,"[11, 13, 10, 14, 8, 6, 1, 17, 15, 5, 4, 7, 12, 0, 18, 16, 2, 19, 3, 9]"
dpm-003-20-5x6,1558,1470,1470,1485.0,1485.0,0.04498124122619629,0.0,279,"[1, 6, 18, 19, 0, 3, 2, 14, 11, 17, 8, 16, 12, 4, 13, 9, 7, 15, 5, 10]"
dpm-060-50-5x14,3684,3311,3341,3576.0,3357.0,5400.000909328461,0.061241610738255035,19185356,"[47, 18, 39, 23, 41, 42, 30, 13, 44, 22, 36, 8, 37, 9, 5, 7, 4, 16, 1, 48, 10, 19, 33, 6, 11, 38, 49, 0, 20, 31, 29, 34, 2, 15, 45, 28, 3, 21, 17, 25, 46, 26, 27, 14, 35, 43, 32, 24, 12, 40]"
dpm-034-50-5x6,3012,2879,2928,2947.0,2947.0,12.47761058807373,0.0,19006,"[20, 19, 8, 6, 14, 32, 22, 7, 3, 13, 16, 40, 30, 37, 48, 1, 41, 34, 35, 43, 27, 36, 26, 42, 4, 38, 31, 33, 28, 12, 23, 44, 10, 2, 49, 21, 9, 45, 29, 47, 11, 46, 5, 39, 0, 25, 15, 18, 17, 24]"
dpm-044-50-5x9,3337,3077,3083,3137.0,3137.0,991.1674282550812,0.0,4719937,"[26, 33, 29, 19, 22, 31, 27, 13, 17, 44, 16, 8, 46, 28, 42, 4, 43, 34, 2, 45, 25, 18, 48, 7, 5, 36, 37, 12, 38, 23, 24, 11, 41, 47, 14, 0, 49, 20, 10, 39, 6, 40, 21, 35, 3, 9, 1, 32, 15, 30]"
dpm-056-50-5x14,3797,3389,3451,3676.0,3451.0,5400.0010504722595,0.061207834602829164,22138422,"[25, 5, 23, 35, 29, 7, 48, 21, 17, 38, 15, 44, 2, 30, 40, 24, 3, 4, 13, 18, 8, 47, 42, 46, 45, 37, 28, 20, 49, 14, 0, 39, 34, 19, 12, 1, 41, 43, 32, 10, 22, 31, 9, 6, 33, 11, 16, 26, 36, 27]"
dpm-008-20-5x6,1341,1306,1306,1306.0,1306.0,0.02478814125061035,0.0,12,"[2, 1, 6, 8, 17, 14, 18, 9, 11, 13, 16, 12, 15, 5, 7, 3, 19, 0, 10, 4]"
dpm-053-50-5x14,3768,3355,3423,3744.0,3450.0,5400.00088596344,0.07852564102564102,28369154,"[42, 37, 18, 31, 15, 30, 8, 24, 34, 27, 36, 47, 35, 41, 45, 44, 3, 26, 12, 11, 14, 2, 28, 29, 21, 43, 48, 4, 16, 25, 1, 32, 20, 46, 6, 38, 40, 9, 19, 49, 33, 0, 7, 17, 10, 23, 5, 39, 13, 22]"
dpm-030-20-5x14,2153,1657,1853,2058.0,1869.0,5400.002526283264,0.09183673469387756,34290636,"[11, 13, 12, 3, 16, 4, 9, 7, 5, 0, 17, 15, 1, 10, 19, 6, 14, 2, 18, 8]"
dpm-022-20-5x14,2155,1832,1858,2056.0,2056.0,85.05868148803711,0.0,740044,"[6, 19, 10, 0, 13, 9, 2, 12, 11, 7, 17, 1, 14, 5, 3, 8, 18, 15, 16, 4]"
dpm-033-50-5x6,3242,3036,3050,3078.0,3078.0,33.67147254943848,0.0,331740,"[10, 24, 48, 32, 5, 31, 0, 17, 46, 9, 43, 30, 7, 45, 39, 28, 8, 2, 23, 34, 3, 12, 38, 21, 11, 26, 16, 4, 42, 25, 36, 14, 15, 29, 33, 22, 20, 40, 1, 41, 13, 49, 6, 35, 37, 27, 44, 18, 19, 47]"
dpm-042-50-5x9,3229,2920,2989,3037.0,3037.0,2419.6297969818115,0.0,17035265,"[40, 10, 24, 4, 20, 16, 18, 38, 46, 34, 19, 43, 11, 8, 39, 2, 25, 35, 32, 9, 45, 30, 37, 12, 48, 28, 3, 14, 44, 29, 22, 1, 49, 0, 7, 5, 42, 27, 36, 47, 6, 21, 13, 23, 26, 41, 17, 15, 31, 33]"
dpm-046-50-5x9,3343,3019,3080,3153.0,3080.0,5400.000782251358,0.02315255312400888,35734042,"[49, 26, 40, 5, 10, 46, 2, 0, 44, 30, 25, 33, 13, 23, 17, 14, 22, 35, 48, 19, 20, 28, 45, 31, 7, 39, 6, 4, 3, 16, 29, 32, 41, 38, 12, 15, 11, 9, 42, 24, 21, 8, 18, 27, 47, 36, 43, 37, 1, 34]"
dpm-039-50-5x6,3294,3011,3077,3115.0,3115.0,19.408191204071045,0.0,58444,"[41, 11, 2, 5, 12, 45, 46, 25, 9, 26, 22, 30, 49, 15, 14, 19, 47, 43, 18, 37, 28, 0, 35, 48, 29, 4, 38, 40, 23, 8, 1, 6, 24, 3, 27, 36, 42, 21, 39, 17, 32, 20, 31, 34, 7, 33, 10, 16, 13, 44]"
dpm-009-20-5x6,1610,1458,1496,1504.0,1504.0,32.502973556518555,0.0,563686,"[10, 17, 18, 12, 11, 13, 0, 5, 3, 16, 6, 2, 7, 1, 8, 15, 14, 19, 4, 9]"
dpm-058-50-5x14,3828,3481,3519,3632.0,3519.0,5400.000745773315,0.031112334801762113,19701013,"[0, 11, 2, 4, 24, 8, 41, 40, 21, 27, 25, 35, 34, 30, 46, 29, 6, 20, 38, 36, 44, 32, 14, 33, 15, 37, 18, 12, 5, 26, 23, 7, 19, 42, 16, 49, 9, 17, 10, 31, 47, 1, 39, 3, 45, 48, 13, 43, 28, 22]"
