name,warmstart,lb1_start,lb5_start,incumbent,lower_bound,execution_time,gap,nodes,sequence
ta001,1278,1232,1278,1278.0,1278.0,0.03466439247131348,0.0,85,"[16, 2, 14, 7, 18, 13, 10, 12, 8, 5, 4, 6, 17, 15, 0, 3, 1, 9, 19, 11]"
ta002,1359,1290,1355,1359.0,1359.0,0.8610551357269287,0.0,26019,"[5, 9, 16, 6, 18, 19, 8, 17, 14, 11, 7, 0, 13, 2, 12, 4, 10, 15, 3, 1]"
ta003,1087,1073,1073,1081.0,1081.0,0.041826725006103516,0.0,242,"[2, 14, 13, 3, 15, 10, 9, 19, 17, 11, 0, 6, 18, 5, 4, 12, 8, 7, 16, 1]"
ta004,1293,1268,1268,1293.0,1293.0,0.038263797760009766,0.0,16,"[12, 16, 18, 8, 15, 10, 6, 4, 9, 11, 14, 0, 19, 1, 3, 7, 5, 13, 2, 17]"
ta005,1243,1198,1217,1235.0,1235.0,0.8965518474578857,0.0,82693,"[2, 11, 4, 9, 8, 3, 18, 16, 15, 5, 1, 14, 12, 10, 13, 6, 17, 0, 19, 7]"
ta006,1195,1180,1181,1195.0,1195.0,0.05035138130187988,0.0,58,"[10, 13, 16, 12, 6, 15, 5, 17, 3, 11, 8, 18, 19, 0, 14, 9, 7, 1, 4, 2]"
ta007,1239,1226,1226,1234.0,1234.0,0.06982207298278809,0.0,1066,"[9, 1, 12, 0, 18, 16, 15, 19, 14, 2, 7, 3, 10, 5, 4, 8, 6, 11, 13, 17]"
ta008,1206,1170,1170,1206.0,1206.0,0.05127573013305664,0.0,21,"[16, 1, 15, 8, 18, 11, 4, 2, 0, 9, 13, 17, 6, 12, 7, 19, 3, 14, 5, 10]"
ta009,1230,1206,1208,1230.0,1230.0,0.048119544982910156,0.0,454,"[3, 11, 9, 1, 7, 19, 15, 16, 0, 5, 17, 18, 2, 12, 10, 13, 6, 14, 8, 4]"
ta010,1108,1082,1085,1108.0,1108.0,0.04648423194885254,0.0,5,"[10, 6, 4, 15, 7, 11, 5, 9, 19, 12, 17, 1, 2, 0, 18, 13, 14, 16, 3, 8]"
ta011,1586,1448,1494,1582.0,1582.0,3.377283811569214,0.0,192410,"[17, 4, 1, 11, 8, 9, 3, 13, 14, 16, 12, 2, 5, 18, 7, 19, 10, 6, 0, 15]"
ta012,1684,1479,1552,1659.0,1659.0,6.29424524307251,0.0,310820,"[18, 14, 11, 12, 16, 8, 1, 15, 0, 4, 10, 19, 6, 3, 9, 7, 13, 2, 5, 17]"
ta013,1511,1407,1407,1496.0,1496.0,8.675503969192505,0.0,569551,"[3, 6, 8, 4, 1, 12, 15, 0, 19, 14, 10, 5, 9, 2, 16, 13, 18, 11, 17, 7]"
ta014,1387,1308,1337,1377.0,1377.0,0.6923816204071045,0.0,47220,"[2, 10, 5, 19, 9, 11, 15, 17, 12, 6, 0, 8, 1, 14, 13, 7, 18, 3, 4, 16]"
ta015,1425,1325,1344,1419.0,1419.0,2.000804901123047,0.0,97379,"[15, 7, 3, 17, 13, 14, 2, 16, 12, 11, 5, 18, 0, 10, 1, 19, 8, 6, 4, 9]"
ta016,1420,1290,1313,1397.0,1397.0,3.4694652557373047,0.0,179061,"[7, 18, 5, 17, 15, 8, 2, 16, 19, 10, 13, 12, 6, 11, 3, 4, 9, 14, 1, 0]"
ta017,1487,1388,1416,1484.0,1484.0,261.658842086792,0.0,10245573,"[18, 3, 6, 0, 5, 16, 12, 17, 8, 11, 4, 19, 1, 9, 15, 10, 2, 13, 7, 14]"
ta018,1559,1363,1379,1538.0,1538.0,5.4314799308776855,0.0,282264,"[6, 18, 3, 17, 1, 8, 19, 14, 7, 15, 13, 0, 9, 16, 2, 4, 12, 5, 10, 11]"
ta019,1607,1472,1534,1593.0,1593.0,0.21622800827026367,0.0,10247,"[13, 11, 19, 10, 7, 0, 2, 15, 12, 17, 16, 3, 1, 18, 14, 6, 9, 4, 5, 8]"
ta020,1611,1356,1496,1591.0,1591.0,11.236263036727905,0.0,532122,"[4, 11, 18, 12, 7, 5, 16, 6, 9, 17, 3, 2, 15, 14, 19, 13, 1, 8, 0, 10]"
ta031,2724,2712,2712,2724.0,2724.0,1.430326223373413,0.0,5,"[30, 25, 31, 49, 27, 18, 40, 10, 24, 47, 45, 16, 29, 37, 38, 32, 5, 9, 8, 17, 20, 12, 42, 43, 26, 1, 33, 4, 3, 44, 2, 28, 13, 0, 23, 7, 41, 48, 14, 39, 6, 46, 15, 11, 22, 21, 34, 19, 36, 35]"
ta032,2838,2808,2827,2834.0,2834.0,1.5663402080535889,0.0,98,"[49, 9, 48, 14, 41, 17, 43, 4, 37, 34, 38, 28, 6, 32, 26, 23, 18, 39, 44, 12, 42, 8, 25, 45, 24, 40, 16, 29, 36, 47, 11, 13, 15, 22, 20, 21, 19, 5, 27, 30, 31, 1, 0, 7, 46, 2, 10, 33, 3, 35]"
ta033,2621,2596,2596,2621.0,2621.0,2.411571979522705,0.0,21,"[26, 7, 1, 28, 3, 32, 34, 19, 6, 17, 14, 44, 37, 46, 36, 33, 22, 40, 2, 9, 39, 18, 0, 31, 23, 41, 48, 25, 15, 12, 49, 8, 16, 4, 42, 38, 47, 10, 29, 43, 30, 24, 45, 5, 35, 21, 27, 20, 13, 11]"
ta034,2753,2740,2740,2751.0,2751.0,1.907210350036621,0.0,65,"[41, 29, 48, 1, 27, 21, 13, 25, 2, 42, 6, 3, 49, 24, 23, 46, 34, 18, 19, 36, 10, 8, 47, 35, 4, 31, 7, 15, 37, 9, 20, 14, 16, 17, 22, 40, 44, 26, 28, 0, 32, 38, 39, 12, 45, 11, 5, 33, 30, 43]"
ta035,2863,2837,2842,2863.0,2863.0,1.9770450592041016,0.0,240,"[45, 26, 29, 47, 38, 20, 0, 31, 35, 4, 49, 21, 16, 8, 15, 28, 30, 32, 14, 40, 39, 13, 18, 2, 7, 43, 3, 11, 22, 17, 25, 46, 10, 27, 1, 34, 33, 37, 6, 42, 23, 19, 36, 24, 5, 9, 12, 48, 44, 41]"
ta036,2829,2793,2820,2829.0,2829.0,1.9240057468414307,0.0,15,"[46, 3, 27, 29, 5, 0, 28, 43, 10, 21, 4, 19, 35, 23, 49, 2, 16, 25, 36, 32, 38, 9, 44, 31, 45, 15, 18, 39, 34, 7, 20, 37, 8, 22, 48, 12, 33, 17, 14, 24, 1, 6, 47, 42, 40, 13, 26, 41, 11, 30]"
ta037,2725,2689,2724,2725.0,2725.0,2.4379870891571045,0.0,7,"[26, 42, 21, 18, 29, 23, 1, 48, 8, 37, 19, 39, 31, 32, 30, 3, 36, 28, 12, 4, 13, 45, 0, 17, 16, 14, 40, 20, 10, 6, 44, 11, 7, 47, 33, 9, 35, 34, 41, 38, 43, 5, 2, 25, 49, 22, 46, 15, 24, 27]"
ta038,2683,2667,2683,2683.0,2683.0,2.301743268966675,0.0,1,"[33, 46, 6, 1, 7, 29, 9, 35, 42, 49, 26, 14, 25, 4, 0, 13, 32, 8, 20, 30, 17, 24, 19, 36, 27, 23, 5, 45, 15, 43, 18, 38, 10, 47, 28, 44, 48, 2, 11, 40, 31, 22, 41, 34, 21, 12, 16, 3, 37, 39]"
ta039,2554,2527,2527,2552.0,2552.0,2.0907111167907715,0.0,90,"[12, 0, 9, 45, 44, 23, 10, 8, 2, 6, 14, 38, 1, 25, 33, 31, 15, 20, 43, 37, 40, 22, 19, 29, 32, 18, 35, 5, 48, 34, 36, 4, 24, 21, 46, 39, 17, 26, 27, 47, 41, 42, 3, 30, 28, 11, 7, 49, 16, 13]"
